phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,2,7,5,3.9945496653073462,3.7214859309773054,0.27306373433004083,0.06835907854685064,668672
prefill,2,8,6,4.005148765650882,3.7234512749329896,0.28169749071789285,0.07033383956516127,668672
prefill,2,9,7,4.03258241929527,3.725148863723045,0.3074335555722252,0.07623738924744704,668672
prefill,2,10,8,4.06487398573923,3.7586763050088616,0.30619768073036857,0.0753277178590529,668672
prefill,2,11,9,4.0116989858946726,3.7387756466105433,0.27292333928412926,0.06803185888167106,668672
prefill,2,12,10,4.024639294735418,3.768254574601019,0.25638472013439895,0.06370377600541065,668672
prefill,2,13,11,4.03029556636249,3.818569095351581,0.21172647101090902,0.052533732954479315,668672
prefill,2,14,12,4.0505730224093695,3.813176953569432,0.23739606883993725,0.05860802101988248,668672
prefill,2,15,13,4.050842714403586,3.850025136384469,0.20081757801911726,0.049574271868189294,668672
prefill,3,4,1,4.014985661181162,3.6794597116335943,0.3355259495475673,0.08356840543456873,668672
prefill,3,5,2,4.017320331755117,3.684973381629941,0.33234695012517657,0.08272851619476865,668672
prefill,3,6,3,3.9674635697658265,3.6280510300308157,0.33941253973501073,0.08554899969882875,668672
prefill,3,7,4,3.9945496653073462,3.6402699477488607,0.35427971755848553,0.08869077799567845,668672
prefill,3,8,5,4.005148765650882,3.626833383768701,0.3783153818821816,0.09445726089545167,668672
prefill,3,9,6,4.03258241929527,3.631375445019439,0.4012069742758313,0.0994913265395691,668672
prefill,3,10,7,4.06487398573923,3.66998144265585,0.39489254308338007,0.09714754860022203,668672
prefill,3,11,8,4.0116989858946726,3.670387927119634,0.34131105877503876,0.08507893039211191,668672
prefill,3,12,9,4.024639294735418,3.7035272962677035,0.32111199846771443,0.07978652866798701,668672
prefill,3,13,10,4.03029556636249,3.768927184697115,0.2613683816653749,0.06485092156684448,668672
prefill,3,14,11,4.0505730224093695,3.7574696634476275,0.293103358961742,0.07236096160720433,668672
prefill,3,15,12,4.050842714403586,3.805248372606932,0.24559434179665418,0.06062796289853321,668672
prefill,4,5,1,4.017320331755117,3.6680186246056508,0.3493017071494666,0.08694893070597162,668672
prefill,4,6,2,3.9674635697658265,3.6166773473069194,0.3507862224589071,0.08841573874353476,668672
prefill,4,7,3,3.9945496653073462,3.6351094941194924,0.3594401711878539,0.08998265168902288,668672
prefill,4,8,4,4.005148765650882,3.628543553135691,0.3766052125151913,0.09403026817506706,668672
prefill,4,9,5,4.03258241929527,3.6382373902724794,0.3943450290227908,0.09778970099554868,668672
prefill,4,10,6,4.06487398573923,3.6876750663383437,0.37719891940088646,0.09279473871126408,668672
prefill,4,11,7,4.0116989858946726,3.673920387680394,0.3377785982142787,0.0841983906075517,668672
prefill,4,12,8,4.024639294735418,3.706630638310128,0.31800865642528997,0.07901544290969709,668672
prefill,4,13,9,4.03029556636249,3.7625709196498645,0.2677246467126255,0.06642804288278495,668672
prefill,4,14,10,4.0505730224093695,3.7618960508665027,0.28867697154286676,0.07126818105630778,668672
prefill,4,15,11,4.050842714403586,3.8037534969715305,0.2470892174320558,0.06099699120715805,668672
prefill,5,6,1,3.9674635697658265,3.5802602237864902,0.38720334597933626,0.097594682136474,668672
prefill,5,7,2,3.9945496653073462,3.599364944886801,0.3951847204205454,0.09893098184576943,668672
