phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
prefill,math,4,10,6,16,previous_window,516,8,0.4251453488372093,0.003875968992248062,2.0,4.704273504273504,0.0016990291262135922,0.9973740175681923
prefill,math,4,10,6,16,static,516,8,0.3376937984496124,0.0,2.0,5.9225251076040175,0.0,1.0
prefill,math,4,10,6,16,transition,516,8,0.7870639534883721,0.27906976744186046,2.0,2.541089566020314,0.44538834951456313,0.42299606305042065
prefill,math,4,10,6,32,domain_oracle,516,8,0.7221414728682171,0.18604651162790697,4.0,5.539080845353908,0.0,1.0
prefill,math,4,10,6,32,previous_window,516,8,0.7076065891472868,0.12209302325581395,4.0,5.652858610065047,0.000970873786407767,0.99833722327335
prefill,math,4,10,6,32,static,516,8,0.6179748062015504,0.06589147286821706,4.0,6.4727557820462565,0.0,1.0
prefill,math,4,10,6,32,transition,516,8,0.9556686046511628,0.7577519379844961,4.0,4.1855513307984795,0.2648665048543689,0.6051094347519498
prefill,math,4,11,7,8,domain_oracle,516,8,0.32897286821705424,0.0,1.0,3.039764359351988,0.0,1.0
prefill,math,4,11,7,8,previous_window,516,8,0.32921511627906974,0.0,1.0,3.0375275938189845,0.0012135922330097086,0.9980778660390309
prefill,math,4,11,7,8,static,516,8,0.22601744186046513,0.0,1.0,4.42443729903537,0.0,1.0
prefill,math,4,11,7,8,transition,516,8,0.5067829457364341,0.009689922480620155,1.0,1.9732313575525813,0.4354368932038835,0.4299844707611694
prefill,math,4,11,7,16,domain_oracle,516,8,0.5121124031007752,0.023255813953488372,2.0,3.9053926206244087,0.0,1.0
prefill,math,4,11,7,16,previous_window,516,8,0.49709302325581395,0.029069767441860465,2.0,4.023391812865497,0.0012135922330097086,0.9979969340827798
prefill,math,4,11,7,16,static,516,8,0.40382751937984496,0.015503875968992248,2.0,4.952609478104379,0.0,1.0
prefill,math,4,11,7,16,transition,516,8,0.7533914728682171,0.187984496124031,2.0,2.654662379421222,0.3565533980582524,0.5054908581662544
prefill,math,4,11,7,32,domain_oracle,516,8,0.7623546511627907,0.20736434108527133,4.0,5.246901811248808,0.0,1.0
prefill,math,4,11,7,32,previous_window,516,8,0.750968992248062,0.187984496124031,4.0,5.3264516129032256,0.000970873786407767,0.998356907953229
prefill,math,4,11,7,32,static,516,8,0.6962209302325582,0.1182170542635659,4.0,5.745302713987474,0.0,1.0
prefill,math,4,11,7,32,transition,516,8,0.9358042635658915,0.6705426356589147,4.0,4.274398136163604,0.23610436893203884,0.6358219422281765
prefill,math,4,12,8,8,domain_oracle,516,8,0.343265503875969,0.0,1.0,2.913196894848271,0.0,1.0
prefill,math,4,12,8,8,previous_window,516,8,0.3224321705426357,0.0,1.0,3.101427498121713,0.0014563106796116505,0.9976699029126215
prefill,math,4,12,8,8,static,516,8,0.1739341085271318,0.0,1.0,5.749303621169917,0.0,1.0
prefill,math,4,12,8,8,transition,516,8,0.45373062015503873,0.001937984496124031,1.0,2.203950880939669,0.4609223300970874,0.4006048751679815
prefill,math,4,12,8,16,domain_oracle,516,8,0.5169573643410853,0.02131782945736434,2.0,3.8687910028116215,0.0,1.0
prefill,math,4,12,8,16,previous_window,516,8,0.48667635658914726,0.009689922480620155,2.0,4.109507217521155,0.0016990291262135922,0.9974030398148946
prefill,math,4,12,8,16,static,516,8,0.32533914728682173,0.0,2.0,6.147431124348474,0.0,1.0
prefill,math,4,12,8,16,transition,516,8,0.6964631782945736,0.16085271317829458,2.0,2.8716521739130436,0.35315533980582525,0.5106214439196325
prefill,math,4,12,8,32,domain_oracle,516,8,0.7640503875968992,0.16085271317829458,4.0,5.235256816740646,0.0,1.0
prefill,math,4,12,8,32,previous_window,516,8,0.7313468992248062,0.13178294573643412,4.0,5.4693607154686985,0.0010315533980582525,0.9982533691271556
prefill,math,4,12,8,32,static,516,8,0.6569767441860465,0.1182170542635659,4.0,6.088495575221239,0.0,1.0
prefill,math,4,12,8,32,transition,516,8,0.9125484496124031,0.6065891472868217,4.0,4.383328908946111,0.22718446601941747,0.645750828405509
prefill,math,4,13,9,8,domain_oracle,516,8,0.3071705426356589,0.0,1.0,3.2555205047318614,0.0,1.0
prefill,math,4,13,9,8,previous_window,516,8,0.2868217054263566,0.0,1.0,3.4864864864864864,0.001941747572815534,0.9971050308914386
prefill,math,4,13,9,8,static,516,8,0.18580426356589147,0.0,1.0,5.382007822685789,0.0,1.0
prefill,math,4,13,9,8,transition,516,8,0.4166666666666667,0.001937984496124031,1.0,2.4,0.46310679611650485,0.4079814037095588
prefill,math,4,13,9,16,domain_oracle,516,8,0.5053294573643411,0.03682170542635659,2.0,3.9578139980824543,0.0,1.0
prefill,math,4,13,9,16,previous_window,516,8,0.48328488372093026,0.01744186046511628,2.0,4.138345864661654,0.0014563106796116505,0.997719217136693
prefill,math,4,13,9,16,static,516,8,0.35755813953488375,0.0,2.0,5.59349593495935,0.0,1.0
prefill,math,4,13,9,16,transition,516,8,0.6203972868217055,0.09496124031007752,2.0,3.2237407262787974,0.32609223300970874,0.5342493429651475
prefill,math,4,13,9,32,domain_oracle,516,8,0.780765503875969,0.20348837209302326,4.0,5.1231771641327954,0.0,1.0
prefill,math,4,13,9,32,previous_window,516,8,0.7730135658914729,0.19767441860465115,4.0,5.174553431526167,0.00042475728155339805,0.999216576303955
prefill,math,4,13,9,32,static,516,8,0.6627906976744186,0.09883720930232558,4.0,6.035087719298246,0.0,1.0
prefill,math,4,13,9,32,transition,516,8,0.8762112403100775,0.4786821705426357,4.0,4.5651092065247445,0.20370145631067962,0.6746395279126736
prefill,math,4,14,10,8,domain_oracle,516,8,0.26792635658914726,0.0,1.0,3.732368896925859,0.0,1.0
prefill,math,4,14,10,8,previous_window,516,8,0.2599321705426357,0.0,1.0,3.847157502329916,0.0016990291262135922,0.997497303128371
prefill,math,4,14,10,8,static,516,8,0.12281976744186046,0.0,1.0,8.142011834319527,0.0,1.0
