phase,domain,delta,capacity,policy,n_layer_domain_scopes,mean_residual_cold_expert_fraction,mean_expert_stall_work_reduction,mean_complete_resident_set_hit_coverage,mean_runtime_movement_experts_per_wave,mean_runtime_movement_mib_per_wave,mean_useful_movement_mib_per_wave,mean_wasted_movement_mib_per_wave,mean_useful_movement_fraction,mean_evictions_per_wave,mean_resident_replacement_fraction,mean_expert_oracle_recovery_over_lru,mean_wave_oracle_recovery_over_lru
decode,__domain_balanced__,6,32,linear,40,0.2478422619047619,0.752157738095238,0.23774801587301586,0.7353174603174603,8.823809523809524,6.439285714285714,2.3845238095238095,0.7266965836122687,0.7353174603174603,0.022978670634920633,-0.3432209646292424,-0.157809096726899
decode,__domain_balanced__,6,32,lru,40,0.21264880952380955,0.7873511904761905,0.27653769841269843,0.7234623015873016,8.681547619047619,6.582738095238095,2.098809523809524,0.755361542256016,0.7234623015873016,0.022608196924603176,0.0,0.0
decode,__domain_balanced__,6,32,oracle,40,0.10865575396825397,0.891344246031746,0.5173115079365079,0.4164186507936508,4.997023809523809,4.757142857142857,0.23988095238095236,0.9511577579450583,0.4164186507936508,0.013013082837301588,1.0,1.0
decode,__domain_balanced__,6,32,static,40,0.32300347222222225,0.6769965277777777,0.11001984126984128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1284110074441327,-0.7142635649107011
decode,__domain_balanced__,6,32,transition,40,0.24450644841269842,0.7554935515873016,0.22306547619047618,0.6092757936507937,7.311309523809524,4.511309523809524,2.8,0.6125742161036608,0.6092757936507937,0.0190398685515873,-0.31827554081859655,-0.21530565764690035
decode,__domain_balanced__,7,8,domain,36,0.6894565696649031,0.310543430335097,0.0006613756613756613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046684658586455215,0.023463804713804715
decode,__domain_balanced__,7,8,linear,36,0.6671971450617283,0.3328028549382716,0.0005511463844797178,0.8620480599647267,10.34457671957672,6.041666666666667,4.302910052910053,0.583494872406345,0.8620480599647267,0.10775600749559083,0.08300744474546967,0.03807814992025518
decode,__domain_balanced__,7,8,lru,36,0.6805211089065256,0.31947889109347444,0.0004409171075837742,0.9995590828924164,11.994708994708994,7.041005291005291,4.953703703703704,0.5869952971065309,0.9995590828924164,0.12494488536155204,0.0,0.0
decode,__domain_balanced__,7,8,oracle,36,0.5178226962081128,0.4821773037918871,0.007660934744268076,0.876929012345679,10.523148148148147,9.869047619047619,0.6541005291005291,0.9373403981597573,0.876929012345679,0.10961612654320987,1.0,0.8333333333333334
decode,__domain_balanced__,7,8,static,36,0.7613742835097002,0.23862571649029984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.491464610874266,-0.02103269537480064
decode,__domain_balanced__,7,8,transition,36,0.6947889109347443,0.30521108906525574,0.0010471781305114638,0.6948853615520282,8.338624338624339,4.655423280423281,3.6832010582010586,0.5635020134646296,0.6948853615520282,0.08686067019400352,-0.08144708640855164,0.07286128832181464
decode,__domain_balanced__,7,16,domain,36,0.49765073853615527,0.5023492614638447,0.03940696649029982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004831635893491926,0.03024635362045948
decode,__domain_balanced__,7,16,linear,36,0.49580439814814814,0.5041956018518519,0.03532848324514991,0.9139109347442681,10.966931216931217,7.200396825396826,3.7665343915343916,0.6547050400653907,0.9139109347442681,0.057119433421516756,-0.004995169284825081,0.05091441671566616
decode,__domain_balanced__,7,16,lru,36,0.494274966931217,0.505725033068783,0.03042328042328042,0.9695767195767195,11.634920634920636,8.003306878306878,3.6316137566137567,0.687179279529224,0.9695767195767195,0.06059854497354497,0.0,0.0
decode,__domain_balanced__,7,16,oracle,36,0.324191192680776,0.675808807319224,0.11943342151675486,0.7825176366843034,9.39021164021164,8.869047619047619,0.5211640211640212,0.9436695780478997,0.7825176366843034,0.04890735229276896,1.0,1.0
decode,__domain_balanced__,7,16,static,36,0.59371555335097,0.40628444664902996,0.005621693121693121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5965991441658535,-0.23617984271415576
decode,__domain_balanced__,7,16,transition,36,0.5086392195767195,0.4913607804232804,0.036375661375661374,0.7335758377425043,8.802910052910054,5.308201058201059,3.494708994708995,0.5997363227948743,0.7335758377425043,0.04584848985890652,-0.07613422208822529,0.046605717107930524
decode,__domain_balanced__,7,32,domain,36,0.23361717372134042,0.7663828262786596,0.23208774250440914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10962266082891614,-0.13165629335865214
decode,__domain_balanced__,7,32,linear,36,0.2510058421516755,0.7489941578483246,0.23815035273368604,0.7355048500881834,8.826058201058201,6.463624338624339,2.3624338624338623,0.7283355274655936,0.7355048500881834,0.022984526565255733,-0.293567843214001,-0.12266892341552155
decode,__domain_balanced__,7,32,lru,36,0.21980406746031747,0.7801959325396826,0.26846340388007056,0.7315365961199295,8.778439153439153,6.654761904761905,2.1236772486772484,0.7553362805233476,0.7315365961199295,0.022860518628747797,0.0,0.0
decode,__domain_balanced__,7,32,oracle,36,0.11284722222222222,0.8871527777777778,0.5070546737213404,0.4255952380952381,5.107142857142858,4.8617724867724865,0.24537037037037038,0.9509624485208423,0.4255952380952381,0.01329985119047619,1.0,1.0
decode,__domain_balanced__,7,32,static,36,0.3273258377425044,0.6726741622574957,0.10295414462081129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.080009644662657,-0.7197942945362006
