capacity,lookahead,bandwidth_scale,eligible_waves,cold_demand_experts,mean_cold_experts_per_wave,available_lead_time_ms,measured_expert_transfer_ms,cold_service_headroom,cold_service_pressure,first_order_oracle_stall_reduction,candidate_transfer_amplification,required_benefit,minimum_complete_cold_set_coverage,maximum_profitable_amplification,inverse_window_exists,empty_window_reason
8,14,0.25,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,0.8155458327618252,1.2261726561872377,0.8155458327618252,2.0,0.4077729163809126,0.4077729163809126,2.0,True,
8,14,0.25,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,0.8155458327618252,1.2261726561872377,0.8155458327618252,4.0,0.4077729163809126,,2.0,False,speculative_traffic_gate
8,14,0.5,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,1.6310916655236505,0.6130863280936188,1.0,1.0,0.5,0.5,2.0,True,
8,14,0.5,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,1.6310916655236505,0.6130863280936188,1.0,2.0,0.5,0.5,2.0,True,
8,14,0.5,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,1.6310916655236505,0.6130863280936188,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,14,1.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,3.262183331047301,0.3065431640468094,1.0,1.0,0.5,0.5,2.0,True,
8,14,1.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,3.262183331047301,0.3065431640468094,1.0,2.0,0.5,0.5,2.0,True,
8,14,1.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,3.262183331047301,0.3065431640468094,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,14,2.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,6.524366662094602,0.1532715820234047,1.0,1.0,0.5,0.5,2.0,True,
8,14,2.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,6.524366662094602,0.1532715820234047,1.0,2.0,0.5,0.5,2.0,True,
8,14,2.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,6.524366662094602,0.1532715820234047,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,14,4.0,16022,83876,5.235051803769816,8.950353801250458,0.5240960121154785,13.048733324189204,0.07663579101170236,1.0,1.0,0.5,0.5,2.0,True,
