scenario_id,factor_panel,tail_model,capacity_experts_per_layer,resident_fraction,fast_tier_expert_gib,offloaded_expert_gib,lookahead_layers,requested_complete_coverage,realized_complete_coverage,requested_amplification,importance_order,bandwidth_gbps,transfer_concurrency,commit_slack_layer_intervals,fallback_overhead_fraction,bounded_p99_tpot_ms,bounded_batch1_tokens_per_second,reactive_p99_tpot_ms,reactive_batch1_tokens_per_second,exact_wait_wave_local_p99_tpot_ms,mean_missing_routed_mass,p50_missing_routed_mass,p95_missing_routed_mass,p99_missing_routed_mass,worst_missing_routed_mass,mean_raw_missing_router_probability,p99_raw_missing_router_probability,full_fallback_wave_fraction,renormalization_fallback_wave_fraction,degraded_wave_fraction,p50_token_mean_missing_mass,p95_token_mean_missing_mass,p99_token_mean_missing_mass,p99_token_max_layer_missing_mass,maximum_consecutive_degraded_layers,predicted_useful_experts,predicted_false_experts,candidate_experts,realized_candidate_amplification,useful_movement_bytes,wasted_false_movement_bytes,late_inflight_bytes,cancelled_before_start_bytes,candidate_movement_bytes,zero_post_commit_transfer_wait,transfer_induced_post_commit_stall_ms,complete_candidate_fraction,p99_tpot_improvement_vs_reactive,throughput_improvement_vs_reactive,passing_domains,passing_layer_bands,gate_resident_capacity,gate_latency_or_throughput,gate_local_tpot_ratio,gate_p99_missing_mass,gate_full_fallback,gate_domains,gate_layer_bands,gate_pass,evidence_weights_and_demand,evidence_timing,evidence_predictor,evidence_robustness,evidence_hardware
ax4-local-00356,hardware,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.5,mass_priority_oracle,256.0,1,0.0,0.1,11.251873350143434,88.87408957435984,15.83493285798491,63.151515005997695,11.838093084329374,0.10125359578889892,0.0,0.6885813148788927,0.8883288096161303,1.0,0.032872196321793376,0.3157958984375,0.002761827487205093,0.002980277118961428,0.19413930845088004,0.10184919957492741,0.14752063523059789,0.16179116907675783,1.0,11,464092,179634,643726,1.3870654956344863,4520637628416,2260318814208,0,1318991167488,8099947610112,True,0.0,0.813498626888029,0.28942715128283136,1.407315241224525,0,2,True,True,True,False,True,False,True,False,trace_derived,measured_anchor,assumed,assumed_not_validated,hypothetical
ax4-local-00357,hardware,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.5,mass_priority_oracle,256.0,1,0.25,0.1,11.251873350143434,88.87408957435984,15.83493285798491,63.151515005997695,11.838093084329374,0.023641242027948726,0.0,0.18829113924050633,0.3349034385303815,0.5958279009126466,0.007537846558699074,0.105712890625,0.0,0.0,0.13980776432405442,0.021803000743218153,0.05122633306173154,0.06384663981510899,0.4770731707317073,8,464092,179634,643726,1.3870654956344863,5379773693952,2260318814208,213167112192,246687989760,8099947610112,True,0.0,0.8678301710148546,0.28942715128283136,1.407315241224525,0,2,True,True,True,False,True,False,True,False,trace_derived,measured_anchor,assumed,assumed_not_validated,hypothetical
ax4-local-00358,hardware,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.5,mass_priority_oracle,256.0,1,0.5,0.1,11.251873350143434,88.87408957435984,15.83493285798491,63.151515005997695,11.838093084329374,0.0019548735676485833,0.0,1.1102230246251565e-16,0.07977207977207978,0.295800365185636,0.0006724690813620042,0.0257568359375,0.0,0.0,0.02347553364124329,2.42861286636753e-17,0.010327035961188943,0.022701034519140816,0.16714227476559318,8,464092,179634,643726,1.3870654956344863,5809631133696,2260318814208,25543311360,4454350848,8099947610112,True,0.0,0.9841624016976657,0.28942715128283136,1.407315241224525,4,3,True,True,True,True,True,True,True,True,trace_derived,measured_anchor,assumed,assumed_not_validated,hypothetical
ax4-local-00359,hardware,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.5,mass_priority_oracle,256.0,1,1.0,0.1,11.251873350143434,88.87408957435984,15.83493285798491,63.151515005997695,11.838093084329374,0.0006276460822796485,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.295800365185636,0.00025846323944956544,0.0,0.0,0.0,0.007637935338909,2.0816681711721685e-17,4.683753385137379e-17,0.021278901931383876,0.11268436578171095,8,464092,179634,643726,1.3870654956344863,5839628795904,2260318814208,0,0,8099947610112,True,0.0,1.0,0.28942715128283136,1.407315241224525,4,3,True,True,True,True,True,True,True,True,trace_derived,measured_anchor,assumed,assumed_not_validated,hypothetical
ax4-local-00360,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,2.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,89.06788347837295,0.14019002549199888,6.938893903907228e-17,0.6885813148788927,0.8883288096161303,1.0,0.04974218046392875,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4433357258769192,0.1254487260642389,0.27814358679978013,0.3475455488540112,1.0,16,464092,359268,823360,1.7741309912689724,3753092579328,838311346176,1143899947008,4624962551808,10360266424320,True,0.0,0.5628120709025091,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00361,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,4.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,183.40609816187828,0.14019002549199888,6.938893903907228e-17,0.6885813148788927,0.8883288096161303,1.0,0.04974218046392875,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4433357258769192,0.1254487260642389,0.27814358679978013,0.3475455488540112,1.0,16,464092,1077804,1541896,3.3223929738069176,3753092579328,1168587620352,1366076424192,13113785057280,19401541681152,True,0.0,0.5628120709025091,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00362,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,42.42287732930643,0.16121452642894882,6.938893903907228e-17,0.6909182137481185,0.8886350656767561,1.0,0.059263476746877826,0.330322265625,0.002761827487205093,0.002980277118961428,0.4433357258769192,0.13662151940200734,0.353059606516822,0.44884359452180855,1.0,16,464092,0,464092,1.0,3753092579328,0,705108639744,1381427576832,5839628795904,True,0.0,0.5628120709025091,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00363,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,1.5,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,65.48332980749663,0.22843347513929008,0.14901047729918515,0.7186400937866354,0.8905601659751037,1.0,0.08804279742147456,0.3740234375,0.002761827487205093,0.003003682436649607,0.6148576956684558,0.20398279444688083,0.48683463520497255,0.5802337887558238,1.0,16,464092,179634,643726,1.3870654956344863,2870137061376,1416571650048,1029974261760,2783264636928,8099947610112,True,0.0,0.38983897141430535,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00364,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,2.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,89.06788347837295,0.27169190850547775,0.22266139657444006,0.7436102236421726,0.8917230609057782,1.0,0.10640432343264522,0.4034423828125,0.002761827487205093,0.0030270877543377857,0.7131132193234303,0.25139021879063217,0.5549408432180932,0.6508209071439841,1.0,16,464092,359268,823360,1.7741309912689724,2295701962752,2295701962752,1143899947008,4624962551808,10360266424320,True,0.0,0.2907486580951192,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00365,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.99,0.9900015319409692,4.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,183.40609816187828,0.34995096739426645,0.327292899408284,0.8077589192933842,0.9204625087596356,1.0,0.13949253478459153,0.46533203125,0.002761827487205093,0.003635626014230433,0.8495350143552615,0.3395041047920718,0.6585691195426713,0.7536346010077988,1.0,16,464092,1077804,1541896,3.3223929738069176,1230420049920,3691260149760,1366076424192,13113785057280,19401541681152,True,0.0,0.15299275995506179,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00366,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,41.89877613662029,0.18487860316773327,5.551115123125783e-17,0.7039274924471299,0.8896643403123962,1.0,0.06994569264403475,0.3656005859375,0.002761827487205093,0.003003682436649607,0.4386000499313444,0.1498802965239669,0.4334346540354828,0.55038471509041,1.0,16,464973,0,464973,1.0,3760730406912,0,706555674624,1383428259840,5850714341376,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00367,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.5,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,65.48332980749662,0.3163658593127963,0.2767624020887729,0.8676780446691951,1.0,1.0,0.12621678438187836,0.5169677734375,0.021088191237049057,0.021946386218948944,0.640673761078517,0.2834168422311973,0.696978080857495,0.8188452536190648,1.0,16,464973,180074,645047,1.3872784011114623,2028579323904,2265855295488,1032755085312,2789379932160,8116569636864,True,0.0,0.3596617151416802,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00368,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,2.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,89.06788347837295,0.3869964310713119,0.3990624084383241,0.8978402468289338,1.0,1.0,0.1556197385367733,0.5322265625,0.02112720009986269,0.022609536886780676,0.7107102733741106,0.37591991928871865,0.759244060418123,0.8557352366432803,1.0,16,464973,360149,825122,1.7745589528854364,838424592384,3760730406912,1145837715456,4637444800512,10382437515264,True,0.0,0.28954718512045935,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00369,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,4.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,183.40609816187828,0.42839698196369547,0.42489851150202973,0.8978402468289338,1.0,1.0,0.17263143789662566,0.5323486328125,0.02112720009986269,0.022609536886780676,0.8485909998751716,0.42820673675676946,0.7608943225582447,0.8561296881640753,1.0,16,464973,1080447,1545420,3.323676858656309,164307664896,4763462664192,1368429428736,13149684105216,19445883863040,True,0.0,0.15153382848583197,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00370,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,41.89877613662029,0.13978219707016648,5.551115123125783e-17,0.6885813148788927,0.8883288096161303,1.0,0.049576265180085635,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4386000499313444,0.12491303134314809,0.27814358679978013,0.3475455488540112,1.0,16,464973,0,464973,1.0,3760730406912,0,706555674624,1383428259840,5850714341376,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00371,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.5,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,65.48332980749662,0.13978219707016648,5.551115123125783e-17,0.6885813148788927,0.8883288096161303,1.0,0.049576265180085635,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4386000499313444,0.12491303134314809,0.27814358679978013,0.3475455488540112,1.0,16,464973,180074,645047,1.3872784011114623,3760730406912,533704212480,1032755085312,2789379932160,8116569636864,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00372,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,2.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,89.06788347837295,0.13978219707016648,5.551115123125783e-17,0.6885813148788927,0.8883288096161303,1.0,0.049576265180085635,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4386000499313444,0.12491303134314809,0.27814358679978013,0.3475455488540112,1.0,16,464973,360149,825122,1.7745589528854364,3760730406912,838424592384,1145837715456,4637444800512,10382437515264,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00373,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,4.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,183.40609816187828,0.13978219707016648,5.551115123125783e-17,0.6885813148788927,0.8883288096161303,1.0,0.049576265180085635,0.3157958984375,0.002761827487205093,0.002980277118961428,0.4386000499313444,0.12491303134314809,0.27814358679978013,0.3475455488540112,1.0,16,464973,1080447,1545420,3.323676858656309,3760730406912,1167039922176,1368429428736,13149684105216,19445883863040,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00374,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,41.89877613662029,0.16068359078109362,5.551115123125783e-17,0.6909182137481185,0.8886350656767561,1.0,0.05904036243225867,0.330322265625,0.002761827487205093,0.002980277118961428,0.4386000499313444,0.13594813332483024,0.35331672855055163,0.4490219801580559,1.0,16,464973,0,464973,1.0,3760730406912,0,706555674624,1383428259840,5850714341376,True,0.0,0.5619148670577956,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00375,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,1.5,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,65.48332980749662,0.22822441205451588,0.14905450500556183,0.7184292726461401,0.8901267767960046,1.0,0.0879517050364419,0.373291015625,0.002761827487205093,0.0029958806640868803,0.6118540132318062,0.20267722300489177,0.4864503301988626,0.5861173062986627,1.0,16,464973,180074,645047,1.3872784011114623,2873270206464,1421164412928,1032755085312,2789379932160,8116569636864,True,0.0,0.3884970665335164,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00376,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,2.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,89.06788347837295,0.27144692397112596,0.2226407986438125,0.743601462522852,0.8917230609057782,1.0,0.10630161183973538,0.4033203125,0.002761827487205093,0.0030270877543377857,0.7107102733741106,0.2510704751916752,0.5549408432180932,0.6508209071439841,1.0,16,464973,360149,825122,1.7745589528854364,2299577499648,2299577499648,1145837715456,4637444800512,10382437515264,True,0.0,0.28954718512045935,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00377,predictor,trace_wave_local_deadline_factorized,16,0.25,3.0,9.0,3,0.999,0.9989991319001175,4.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,66.83190458296085,14.962913390544841,183.40609816187828,0.3498800988378977,0.3273195876288659,0.8078409718387631,0.9205905826017557,1.0,0.1394592201110055,0.465087890625,0.002761827487205093,0.003635626014230433,0.8485909998751716,0.3393298529568276,0.6587480358768852,0.7536346010077988,1.0,16,464973,1080447,1545420,3.323676858656309,1231942582272,3695827746816,1368429428736,13149684105216,19445883863040,True,0.0,0.15153382848583197,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
