scenario_id,scope_type,scope,waves,p99_missing_routed_mass,full_fallback_wave_fraction,mass_contract_pass
ax4-local-00018,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00018,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00019,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00019,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00019,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00019,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00019,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00019,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00019,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00020,domain,code,32256,0.9194570135746606,0.004185267857142857,False
ax4-local-00020,domain,conversation,31424,0.9446790540540541,0.00560081466395112,False
ax4-local-00020,domain,general,32256,0.9578668238067177,0.008587549603174604,False
ax4-local-00020,domain,math,32240,0.940677966101695,0.0057382133995037225,False
ax4-local-00020,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00020,layer_band,middle,40055,0.9161823187519119,0.0,False
ax4-local-00020,layer_band,late,48066,0.9376971608832807,0.0,False
ax4-local-00021,domain,code,32256,1.0,0.010881696428571428,False
ax4-local-00021,domain,conversation,31424,1.0,0.037900967413441955,False
ax4-local-00021,domain,general,32256,1.0,0.047216021825396824,False
ax4-local-00021,domain,math,32240,1.0,0.02847394540942928,False
ax4-local-00021,layer_band,early,40055,1.0,0.03602546498564474,False
ax4-local-00021,layer_band,middle,40055,1.0,0.019098739233553864,False
ax4-local-00021,layer_band,late,48066,1.0,0.03692839013023759,False
ax4-local-00022,domain,code,32256,1.0,0.013950892857142858,False
ax4-local-00022,domain,conversation,31424,1.0,0.05155295315682281,False
ax4-local-00022,domain,general,32256,1.0,0.0646701388888889,False
ax4-local-00022,domain,math,32240,1.0,0.03874069478908189,False
ax4-local-00022,layer_band,early,40055,1.0,0.04266633379103733,False
ax4-local-00022,layer_band,middle,40055,1.0,0.030383223068281114,False
ax4-local-00022,layer_band,late,48066,1.0,0.051574917821329,False
ax4-local-00023,domain,code,32256,1.0,0.018291170634920636,False
ax4-local-00023,domain,conversation,31424,1.0,0.0764065682281059,False
ax4-local-00023,domain,general,32256,1.0,0.0923859126984127,False
ax4-local-00023,domain,math,32240,1.0,0.05527295285359801,False
ax4-local-00023,layer_band,early,40055,1.0,0.05437523405317688,False
ax4-local-00023,layer_band,middle,40055,1.0,0.044363999500686556,False
ax4-local-00023,layer_band,late,48066,1.0,0.07901635251529147,False
ax4-local-00024,domain,code,32256,0.9357197844495766,0.004185267857142857,False
ax4-local-00024,domain,conversation,31424,0.9572921399363925,0.00560081466395112,False
ax4-local-00024,domain,general,32256,0.976159793814433,0.008587549603174604,False
ax4-local-00024,domain,math,32240,0.95220700152207,0.0057382133995037225,False
ax4-local-00024,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00024,layer_band,middle,40055,0.93682092555332,0.0,False
ax4-local-00024,layer_band,late,48066,0.9562175581132927,0.0,False
ax4-local-00025,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00025,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00025,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00025,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00025,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00025,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00025,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00026,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00026,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00026,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00026,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00026,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00026,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00026,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00027,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00027,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00027,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00027,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00027,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00027,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00027,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00028,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00028,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00028,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00028,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00028,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00028,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00028,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00029,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00029,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00029,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00029,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00029,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00029,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00029,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00030,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00030,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00030,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00030,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00030,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00030,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00030,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00031,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00031,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00031,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00031,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00031,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00031,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00031,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00032,domain,code,32256,0.6758276077451593,0.0,False
ax4-local-00032,domain,conversation,31424,0.6961189099917424,0.0,False
ax4-local-00032,domain,general,32256,0.7006960556844548,0.0,False
ax4-local-00032,domain,math,32240,0.6859180035650623,0.0,False
ax4-local-00032,layer_band,early,40055,0.7466896948762234,0.0,False
ax4-local-00032,layer_band,middle,40055,0.6817653890824622,0.0,False
ax4-local-00032,layer_band,late,48066,0.6746987951807228,0.0,False
ax4-local-00033,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00033,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00033,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00033,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00033,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00033,layer_band,middle,40055,0.5398574206092028,0.0,False
ax4-local-00033,layer_band,late,48066,0.5324392895976804,0.0,False
ax4-local-00034,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00034,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00034,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00034,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00034,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00034,layer_band,middle,40055,0.40966122961104134,0.0,False
ax4-local-00034,layer_band,late,48066,0.40297121634168986,0.0,False
ax4-local-00035,domain,code,32256,0.6587155963302752,0.0,False
ax4-local-00035,domain,conversation,31424,0.6678966789667897,0.0,False
ax4-local-00035,domain,general,32256,0.6862685662321915,0.0,False
ax4-local-00035,domain,math,32240,0.6558734939759036,0.0,False
ax4-local-00035,layer_band,early,40055,0.7466896948762234,0.0,False
ax4-local-00035,layer_band,middle,40055,0.40966122961104134,0.0,False
ax4-local-00035,layer_band,late,48066,0.40297121634168986,0.0,False
ax4-local-00036,domain,code,32256,0.35723890632003585,0.0,False
ax4-local-00036,domain,conversation,31424,0.3535791757049891,0.0,False
ax4-local-00036,domain,general,32256,0.3680555555555556,0.0,False
ax4-local-00036,domain,math,32240,0.34877092981831137,0.0,False
ax4-local-00036,layer_band,early,40055,0.43343982960596383,0.0,False
ax4-local-00036,layer_band,middle,40055,0.1836340206185566,0.0,True
ax4-local-00036,layer_band,late,48066,0.18121178432462481,0.0,True
ax4-local-00037,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00037,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00037,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00037,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00037,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00037,layer_band,middle,40055,0.1836340206185566,0.0,True
ax4-local-00037,layer_band,late,48066,0.18121178432462481,0.0,True
ax4-local-00038,domain,code,32256,0.6587155963302752,0.0,False
ax4-local-00038,domain,conversation,31424,0.6678966789667897,0.0,False
ax4-local-00038,domain,general,32256,0.6862685662321915,0.0,False
ax4-local-00038,domain,math,32240,0.6558734939759036,0.0,False
ax4-local-00038,layer_band,early,40055,0.7466896948762234,0.0,False
ax4-local-00038,layer_band,middle,40055,0.08979430379746833,0.0,True
ax4-local-00038,layer_band,late,48066,0.08801955990220045,0.0,True
ax4-local-00039,domain,code,32256,0.35723890632003585,0.0,False
ax4-local-00039,domain,conversation,31424,0.3535791757049891,0.0,False
ax4-local-00039,domain,general,32256,0.3680555555555556,0.0,False
ax4-local-00039,domain,math,32240,0.34877092981831137,0.0,False
ax4-local-00039,layer_band,early,40055,0.43343982960596383,0.0,False
ax4-local-00039,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00039,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00040,domain,code,32256,0.08735632183908049,0.0,True
ax4-local-00040,domain,conversation,31424,0.08563273073263566,0.0,True
ax4-local-00040,domain,general,32256,0.08989547038327528,0.0,True
ax4-local-00040,domain,math,32240,0.08415466262319932,0.0,True
ax4-local-00040,layer_band,early,40055,0.13415073927154708,0.0,True
ax4-local-00040,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00040,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00041,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00041,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00041,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00041,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00041,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00041,layer_band,middle,40055,0.05393971443680601,0.0,True
ax4-local-00041,layer_band,late,48066,0.025350837483024025,0.0,True
ax4-local-00042,domain,code,32256,0.35723890632003585,0.0,False
ax4-local-00042,domain,conversation,31424,0.3535791757049891,0.0,False
ax4-local-00042,domain,general,32256,0.3680555555555556,0.0,False
ax4-local-00042,domain,math,32240,0.34877092981831137,0.0,False
