fold,training_requests,training_tokens,feature_mode,baseline,domain,delta,evaluation_tokens,selection_coverage,complete_route_coverage
1,48,768,table,transition,general,1,96,0.9274230072463768,0.7617753623188406
1,48,768,table,transition,math,1,96,0.8465806159420289,0.5652173913043478
1,48,768,table,transition,ALL,1,384,0.8638190670289855,0.6088088768115942
1,48,768,table,transition,code,2,96,0.8319128787878788,0.5506628787878788
1,48,768,table,transition,conversation,2,96,0.8343986742424242,0.5464015151515151
1,48,768,table,transition,general,2,96,0.921875,0.7367424242424242
1,48,768,table,transition,math,2,96,0.8346354166666666,0.5596590909090909
1,48,768,table,transition,ALL,2,384,0.8557054924242424,0.5983664772727273
1,48,768,table,transition,code,3,96,0.8169642857142857,0.5128968253968254
1,48,768,table,transition,conversation,3,96,0.8191964285714286,0.5277777777777778
1,48,768,table,transition,general,3,96,0.9145585317460317,0.7306547619047619
1,48,768,table,transition,math,3,96,0.8174603174603174,0.5148809523809523
1,48,768,table,transition,ALL,3,384,0.8420448908730159,0.5715525793650794
1,48,768,weighted,pairwise_head,code,1,96,0.8519021739130435,0.5769927536231884
1,48,768,weighted,pairwise_head,conversation,1,96,0.8566576086956522,0.5806159420289855
1,48,768,weighted,pairwise_head,general,1,96,0.9362545289855072,0.7862318840579711
1,48,768,weighted,pairwise_head,math,1,96,0.8542798913043478,0.5683876811594203
1,48,768,weighted,pairwise_head,ALL,1,384,0.8747735507246377,0.6280570652173914
1,48,768,weighted,pairwise_head,code,2,96,0.849313446969697,0.5800189393939394
1,48,768,weighted,pairwise_head,conversation,2,96,0.8482481060606061,0.5648674242424242
1,48,768,weighted,pairwise_head,general,2,96,0.9324100378787878,0.7627840909090909
1,48,768,weighted,pairwise_head,math,2,96,0.8507339015151515,0.5767045454545454
1,48,768,weighted,pairwise_head,ALL,2,384,0.8701763731060606,0.62109375
1,48,768,weighted,pairwise_head,code,3,96,0.8318452380952381,0.5406746031746031
1,48,768,weighted,pairwise_head,conversation,3,96,0.8277529761904762,0.5401785714285714
1,48,768,weighted,pairwise_head,general,3,96,0.9176587301587301,0.7326388888888888
1,48,768,weighted,pairwise_head,math,3,96,0.8358134920634921,0.5565476190476191
1,48,768,weighted,pairwise_head,ALL,3,384,0.8532676091269841,0.5925099206349206
1,48,768,binary,pairwise_head,code,1,96,0.8922101449275363,0.6825181159420289
1,48,768,binary,pairwise_head,conversation,1,96,0.8798686594202898,0.6345108695652174
1,48,768,binary,pairwise_head,general,1,96,0.963088768115942,0.8632246376811594
1,48,768,binary,pairwise_head,math,1,96,0.8882472826086957,0.6553442028985508
1,48,768,binary,pairwise_head,ALL,1,384,0.905853713768116,0.7088994565217391
1,48,768,binary,pairwise_head,code,2,96,0.8868371212121212,0.6676136363636364
1,48,768,binary,pairwise_head,conversation,2,96,0.8657670454545454,0.6060606060606061
1,48,768,binary,pairwise_head,general,2,96,0.9633049242424242,0.8731060606060606
1,48,768,binary,pairwise_head,math,2,96,0.8831676136363636,0.6605113636363636
1,48,768,binary,pairwise_head,ALL,2,384,0.8997691761363636,0.7018229166666666
1,48,768,binary,pairwise_head,code,3,96,0.8751240079365079,0.6478174603174603
1,48,768,binary,pairwise_head,conversation,3,96,0.8500744047619048,0.5783730158730159
1,48,768,binary,pairwise_head,general,3,96,0.9527529761904762,0.8377976190476191
1,48,768,binary,pairwise_head,math,3,96,0.8594990079365079,0.6125992063492064
1,48,768,binary,pairwise_head,ALL,3,384,0.8843625992063492,0.6691468253968254
1,48,768,weighted_binary,pairwise_head,code,1,96,0.9022871376811594,0.7042572463768116
1,48,768,weighted_binary,pairwise_head,conversation,1,96,0.8875679347826086,0.6521739130434783
1,48,768,weighted_binary,pairwise_head,general,1,96,0.9678442028985508,0.8790760869565217
1,48,768,weighted_binary,pairwise_head,math,1,96,0.8959465579710145,0.677536231884058
1,48,768,weighted_binary,pairwise_head,ALL,1,384,0.9134114583333334,0.7282608695652174
1,48,768,weighted_binary,pairwise_head,code,2,96,0.8947679924242424,0.6908143939393939
1,48,768,weighted_binary,pairwise_head,conversation,2,96,0.8718039772727273,0.6240530303030303
1,48,768,weighted_binary,pairwise_head,general,2,96,0.96875,0.8877840909090909
1,48,768,weighted_binary,pairwise_head,math,2,96,0.890625,0.6761363636363636
1,48,768,weighted_binary,pairwise_head,ALL,2,384,0.9064867424242424,0.7196969696969697
1,48,768,weighted_binary,pairwise_head,code,3,96,0.8857886904761905,0.6691468253968254
1,48,768,weighted_binary,pairwise_head,conversation,3,96,0.8526785714285714,0.5868055555555556
1,48,768,weighted_binary,pairwise_head,general,3,96,0.9609375,0.8660714285714286
1,48,768,weighted_binary,pairwise_head,math,3,96,0.8663194444444444,0.628968253968254
1,48,768,weighted_binary,pairwise_head,ALL,3,384,0.8914310515873016,0.6877480158730159
1,72,1152,table,transition,code,1,96,0.8456748188405797,0.5692934782608695
1,72,1152,table,transition,conversation,1,96,0.8425045289855072,0.5502717391304348
1,72,1152,table,transition,general,1,96,0.927536231884058,0.7622282608695652
1,72,1152,table,transition,math,1,96,0.8488451086956522,0.5706521739130435
1,72,1152,table,transition,ALL,1,384,0.8661401721014492,0.6131114130434783
1,72,1152,table,transition,code,2,96,0.8349905303030303,0.5520833333333334
1,72,1152,table,transition,conversation,2,96,0.8357007575757576,0.546875
1,72,1152,table,transition,general,2,96,0.9211647727272727,0.734375
1,72,1152,table,transition,math,2,96,0.8362926136363636,0.5587121212121212
1,72,1152,table,transition,ALL,2,384,0.8570371685606061,0.5980113636363636
1,72,1152,table,transition,code,3,96,0.8227926587301587,0.5228174603174603
1,72,1152,table,transition,conversation,3,96,0.8198164682539683,0.5262896825396826
1,72,1152,table,transition,general,3,96,0.9144345238095238,0.7242063492063492
1,72,1152,table,transition,math,3,96,0.8175843253968254,0.5089285714285714
1,72,1152,table,transition,ALL,3,384,0.8436569940476191,0.5705605158730159
1,72,1152,weighted,pairwise_head,code,1,96,0.8731884057971014,0.6204710144927537
1,72,1152,weighted,pairwise_head,conversation,1,96,0.8716032608695652,0.6109601449275363
1,72,1152,weighted,pairwise_head,general,1,96,0.9473505434782609,0.8165760869565217
1,72,1152,weighted,pairwise_head,math,1,96,0.8733016304347826,0.6141304347826086
1,72,1152,weighted,pairwise_head,ALL,1,384,0.8913609601449275,0.6655344202898551
1,72,1152,weighted,pairwise_head,code,2,96,0.8677793560606061,0.6164772727272727
1,72,1152,weighted,pairwise_head,conversation,2,96,0.8618607954545454,0.5928030303030303
1,72,1152,weighted,pairwise_head,general,2,96,0.9434185606060606,0.7978219696969697
1,72,1152,weighted,pairwise_head,math,2,96,0.8656486742424242,0.6112689393939394
1,72,1152,weighted,pairwise_head,ALL,2,384,0.8846768465909091,0.654592803030303
1,72,1152,weighted,pairwise_head,code,3,96,0.8532986111111112,0.591765873015873
1,72,1152,weighted,pairwise_head,conversation,3,96,0.8410218253968254,0.5654761904761905
1,72,1152,weighted,pairwise_head,general,3,96,0.9325396825396826,0.7743055555555556
1,72,1152,weighted,pairwise_head,math,3,96,0.8513144841269841,0.5858134920634921
1,72,1152,weighted,pairwise_head,ALL,3,384,0.8695436507936508,0.6293402777777778
1,72,1152,binary,pairwise_head,code,1,96,0.9056838768115942,0.7101449275362319
1,72,1152,binary,pairwise_head,conversation,1,96,0.8885869565217391,0.6517210144927537
1,72,1152,binary,pairwise_head,general,1,96,0.9706748188405797,0.8876811594202898
1,72,1152,binary,pairwise_head,math,1,96,0.901947463768116,0.688858695652174
1,72,1152,binary,pairwise_head,ALL,1,384,0.9167232789855072,0.7346014492753623
1,72,1152,binary,pairwise_head,code,2,96,0.9003314393939394,0.7021780303030303
1,72,1152,binary,pairwise_head,conversation,2,96,0.8736979166666666,0.6221590909090909
1,72,1152,binary,pairwise_head,general,2,96,0.9693418560606061,0.890625
1,72,1152,binary,pairwise_head,math,2,96,0.8934659090909091,0.6832386363636364
1,72,1152,binary,pairwise_head,ALL,2,384,0.9092092803030303,0.7245501893939394
1,72,1152,binary,pairwise_head,code,3,96,0.8905009920634921,0.6825396825396826
1,72,1152,binary,pairwise_head,conversation,3,96,0.853546626984127,0.5838293650793651
1,72,1152,binary,pairwise_head,general,3,96,0.9618055555555556,0.8675595238095238
1,72,1152,binary,pairwise_head,math,3,96,0.8752480158730159,0.6507936507936508
1,72,1152,binary,pairwise_head,ALL,3,384,0.8952752976190477,0.6961805555555556
1,72,1152,weighted_binary,pairwise_head,code,1,96,0.911911231884058,0.7232789855072463
1,72,1152,weighted_binary,pairwise_head,conversation,1,96,0.8942481884057971,0.667572463768116
1,72,1152,weighted_binary,pairwise_head,general,1,96,0.9753170289855072,0.904891304347826
1,72,1152,weighted_binary,pairwise_head,math,1,96,0.9070425724637681,0.7028985507246377
1,72,1152,weighted_binary,pairwise_head,ALL,1,384,0.9221297554347826,0.7496603260869565
1,72,1152,weighted_binary,pairwise_head,code,2,96,0.9096827651515151,0.7244318181818182
1,72,1152,weighted_binary,pairwise_head,conversation,2,96,0.8786695075757576,0.6316287878787878
1,72,1152,weighted_binary,pairwise_head,general,2,96,0.9744318181818182,0.9053030303030303
1,72,1152,weighted_binary,pairwise_head,math,2,96,0.900094696969697,0.7021780303030303
1,72,1152,weighted_binary,pairwise_head,ALL,2,384,0.915719696969697,0.7408854166666666
1,72,1152,weighted_binary,pairwise_head,code,3,96,0.896453373015873,0.6979166666666666
1,72,1152,weighted_binary,pairwise_head,conversation,3,96,0.8580109126984127,0.589781746031746
1,72,1152,weighted_binary,pairwise_head,general,3,96,0.9682539682539683,0.8874007936507936
1,72,1152,weighted_binary,pairwise_head,math,3,96,0.8813244047619048,0.6666666666666666
1,72,1152,weighted_binary,pairwise_head,ALL,3,384,0.9010106646825397,0.7104414682539683
2,8,128,table,transition,code,1,96,0.8128396739130435,0.5140398550724637
2,8,128,table,transition,conversation,1,96,0.7702672101449275,0.45153985507246375
2,8,128,table,transition,general,1,96,0.9227807971014492,0.7432065217391305
2,8,128,table,transition,math,1,96,0.7778532608695652,0.4673913043478261
2,8,128,table,transition,ALL,1,384,0.8209352355072463,0.5440443840579711
2,8,128,table,transition,code,2,96,0.8126183712121212,0.5132575757575758
2,8,128,table,transition,conversation,2,96,0.7597064393939394,0.45359848484848486
2,8,128,table,transition,general,2,96,0.9129971590909091,0.7140151515151515
2,8,128,table,transition,math,2,96,0.7664535984848485,0.4696969696969697
2,8,128,table,transition,ALL,2,384,0.8129438920454546,0.5376420454545454
2,8,128,table,transition,code,3,96,0.8004712301587301,0.49851190476190477
2,8,128,table,transition,conversation,3,96,0.746155753968254,0.43005952380952384
2,8,128,table,transition,general,3,96,0.9030257936507936,0.6969246031746031
2,8,128,table,transition,math,3,96,0.7415674603174603,0.42410714285714285
2,8,128,table,transition,ALL,3,384,0.7978050595238095,0.5124007936507936
2,8,128,weighted,pairwise_head,code,1,96,0.7992527173913043,0.4741847826086957
2,8,128,weighted,pairwise_head,conversation,1,96,0.761322463768116,0.4266304347826087
2,8,128,weighted,pairwise_head,general,1,96,0.9013813405797102,0.6743659420289855
2,8,128,weighted,pairwise_head,math,1,96,0.764266304347826,0.427536231884058
2,8,128,weighted,pairwise_head,ALL,1,384,0.8065557065217391,0.5006793478260869
2,8,128,weighted,pairwise_head,code,2,96,0.7988873106060606,0.4753787878787879
2,8,128,weighted,pairwise_head,conversation,2,96,0.7527225378787878,0.43134469696969696
2,8,128,weighted,pairwise_head,general,2,96,0.8937026515151515,0.6444128787878788
2,8,128,weighted,pairwise_head,math,2,96,0.7566287878787878,0.42329545454545453
2,8,128,weighted,pairwise_head,ALL,2,384,0.800485321969697,0.49360795454545453
2,8,128,weighted,pairwise_head,code,3,96,0.7843501984126984,0.45535714285714285
2,8,128,weighted,pairwise_head,conversation,3,96,0.7374751984126984,0.41220238095238093
2,8,128,weighted,pairwise_head,general,3,96,0.8871527777777778,0.6354166666666666
2,8,128,weighted,pairwise_head,math,3,96,0.7366071428571429,0.39732142857142855
2,8,128,weighted,pairwise_head,ALL,3,384,0.7863963293650794,0.47507440476190477
2,8,128,binary,pairwise_head,code,1,96,0.8417119565217391,0.5683876811594203
2,8,128,binary,pairwise_head,conversation,1,96,0.7886096014492754,0.4759963768115942
