phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,16,15,2.0,0.6393109858036041,0.2634255110814765,8011,0,64088,34090,29998,64,29934,29998,0,806413664256,428951470080,377462194176,805306368,376656887808,377462194176,0,0.5319248533266758,1.0,0.0,7902.238481422919,0.0,1.0,0.0,465071,1024,464047,1025408
decode,32,1,0.5,0.6393109858036041,1.0454370141834826,120165,87848,961320,751900,209420,960,208460,0,209420,12096204963840,9461091532800,2635113431040,12079595520,2623033835520,0,2635113431040,0.7821537053218491,0.0,1.0,218935.41951041122,162773.22803050675,0.25652400879444603,0.7310614571630675,230971,1024,229947,1025408
decode,32,2,0.5,0.6393109858036041,1.0454370141834826,112154,69409,897232,709722,187510,896,186614,20321,167189,11289791299584,8930369470464,2359421829120,11274289152,2348147539968,255697354752,2103724474368,0.7910128038233144,0.10837288677937176,0.8916271132206283,196029.89452961637,132951.8665608642,0.3217775947903817,0.6188722649214473,230971,1024,229947,1025408
decode,32,3,0.5,0.6393109858036041,1.0454370141834826,104143,59348,833144,663192,169952,832,169120,24424,145528,10483377635328,8344886575104,2138491060224,10468982784,2128022077440,307325042688,1831166017536,0.7960112537568536,0.14371116550555452,0.8562888344944455,177674.11143455264,113613.3633835321,0.36055195398918727,0.5698702745263724,230971,1024,229947,1025408
decode,32,6,0.5,0.6393109858036041,1.0454370141834826,80110,33301,640880,508929,131951,640,131311,37794,94157,8064136642560,6403808821248,1660327821312,8053063680,1652274757632,475558576128,1184769245184,0.7941096617151416,0.28642450606664593,0.7135754939333541,137946.45945849948,77276.58847690729,0.4398073804847773,0.415690924978155,230971,1024,229947,1025408
decode,32,9,0.5,0.6393109858036041,1.0454370141834826,56077,18834,448616,349273,99343,448,98895,43449,55894,5644895649792,4394871422976,1250024226816,5637144576,1244387082240,546714943488,703309283328,0.7785567166574532,0.43736347805079373,0.5626365219492063,103856.84930001477,47102.704787366456,0.5464651093805157,0.33585962159173993,230971,1024,229947,1025408
decode,32,12,0.5,0.6393109858036041,1.0454370141834826,32044,4656,256352,202712,53640,256,53384,38272,15368,3225654657024,2550707257344,674947399680,3221225472,671726174208,481573208064,193374191616,0.790756459867682,0.7134973900074572,0.2865026099925429,56077.241440807324,13043.316468484454,0.767404456186519,0.1453002122082137,230971,1024,229947,1025408
decode,32,15,0.5,0.6393109858036041,1.0454370141834826,8011,0,64088,50323,13765,64,13701,13765,0,806413664256,633209880576,173203783680,805306368,172398477312,173203783680,0,0.7852172013481463,1.0,0.0,14390.440500234636,0.0,1.0,0.0,230971,1024,229947,1025408
decode,32,1,1.0,0.6393109858036041,0.5240960121154785,120165,56789,961320,751900,209420,960,208460,87848,121572,12096204963840,9461091532800,2635113431040,12079595520,2623033835520,1105383653376,1529729777664,0.7821537053218491,0.4194823799064082,0.5805176200935919,109756.18685722351,57172.45724412799,0.4790958133549149,0.4725918528689718,230971,1024,229947,1025408
decode,32,2,1.0,0.6393109858036041,0.5240960121154785,112154,42458,897232,709722,187510,896,186614,93621,93889,11289791299584,8930369470464,2359421829120,11274289152,2348147539968,1178024804352,1181397024768,0.7910128038233144,0.49928537144685614,0.5007146285531439,98273.24323177338,42132.252894341946,0.57127442314105,0.3785687536779785,230971,1024,229947,1025408
decode,32,3,1.0,0.6393109858036041,0.5240960121154785,104143,32136,833144,663192,169952,832,169120,94326,75626,10483377635328,8344886575104,2138491060224,10468982784,2128022077440,1186895757312,951595302912,0.7960112537568536,0.5550155337977782,0.4449844662022218,89071.1654510498,34067.7971226275,0.6175215969151107,0.3085757084009487,230971,1024,229947,1025408
decode,32,6,1.0,0.6393109858036041,0.5240960121154785,80110,15757,640880,508929,131951,640,131311,88571,43380,8064136642560,6403808821248,1660327821312,8053063680,1652274757632,1114481098752,545846722560,0.7941096617151416,0.6712415972595888,0.32875840274041124,69154.9928946495,19980.42483842373,0.7110776243031094,0.19669204843340407,230971,1024,229947,1025408
decode,32,9,1.0,0.6393109858036041,0.5240960121154785,56077,6890,448616,349273,99343,448,98895,79378,19965,5644895649792,4394871422976,1250024226816,5637144576,1244387082240,998806388736,251217838080,0.7785567166574532,0.7990296246338443,0.20097037536615564,52065.27013158798,9350.17818287015,0.820414296147147,0.12286677247356313,230971,1024,229947,1025408
decode,32,12,1.0,0.6393109858036041,0.5240960121154785,32044,581,256352,202712,53640,256,53384,51818,1822,3225654657024,2550707257344,674947399680,3221225472,671726174208,652021334016,22926065664,0.790756459867682,0.9660328113348248,0.033967188665175244,28112.510089874268,887.5999073088169,0.9684268710096963,0.018131319435775808,230971,1024,229947,1025408
decode,32,15,1.0,0.6393109858036041,0.5240960121154785,8011,0,64088,50323,13765,64,13701,13765,0,806413664256,633209880576,173203783680,805306368,172398477312,173203783680,0,0.7852172013481463,1.0,0.0,7214.181606769562,0.0,1.0,0.0,230971,1024,229947,1025408
decode,32,1,2.0,0.6393109858036041,0.2634255110814765,120165,33613,961320,751900,209420,960,208460,144637,64783,12096204963840,9461091532800,2635113431040,12079595520,2623033835520,1819954642944,815158788096,0.7821537053218491,0.6906551427752842,0.3093448572247159,55166.57053070647,13285.37812633079,0.7591770161073187,0.27972371322764533,230971,1024,229947,1025408
decode,32,2,2.0,0.6393109858036041,0.2634255110814765,112154,16209,897232,709722,187510,896,186614,151686,35824,11289791299584,8930369470464,2359421829120,11274289152,2348147539968,1908651589632,450770239488,0.7910128038233144,0.8089488560610101,0.19105114393898992,49394.917582904425,7317.627090741985,0.851854655320356,0.14452449310769122,230971,1024,229947,1025408
decode,32,3,2.0,0.6393109858036041,0.2634255110814765,104143,10065,833144,663192,169952,832,169120,145294,24658,10483377635328,8344886575104,2138491060224,10468982784,2128022077440,1828221616128,310269444096,0.7960112537568536,0.8549119751459235,0.14508802485407646,44769.692459329475,5212.232633666446,0.8835767603630192,0.09664595796164889,230971,1024,229947,1025408
decode,32,6,2.0,0.6393109858036041,0.2634255110814765,80110,2974,640880,508929,131951,640,131311,123678,8273,8064136642560,6403808821248,1660327821312,8053063680,1652274757632,1556229390336,104098430976,0.7941096617151416,0.937302483497662,0.06269751650233799,34759.259612708585,1808.2543327240642,0.9479777661298938,0.037123954562476594,230971,1024,229947,1025408
decode,32,9,2.0,0.6393109858036041,0.2634255110814765,56077,468,448616,349273,99343,448,98895,97940,1403,5644895649792,4394871422976,1250024226816,5637144576,1244387082240,1232370401280,17653825536,0.7785567166574532,0.985877213291324,0.014122786708676002,26169.48054736204,299.0922835354449,0.988570950692195,0.008345667564242024,230971,1024,229947,1025408
decode,32,12,2.0,0.6393109858036041,0.2634255110814765,32044,0,256352,202712,53640,256,53384,53640,0,3225654657024,2550707257344,674947399680,3221225472,671726174208,674947399680,0,0.790756459867682,1.0,0.0,14130.14441440811,0.0,1.0,0.0,230971,1024,229947,1025408
decode,32,15,2.0,0.6393109858036041,0.2634255110814765,8011,0,64088,50323,13765,64,13701,13765,0,806413664256,633209880576,173203783680,805306368,172398477312,173203783680,0,0.7852172013481463,1.0,0.0,3626.0521600367097,0.0,1.0,0.0,230971,1024,229947,1025408
