size_mib,bytes,repetition,elapsed_ms,wall_completion_ms
12,12582912,38,0.5241280198097229,0.5308352410793304
12,12582912,39,0.5240319967269897,0.5306024104356766
12,12582912,40,0.523967981338501,0.5306098610162735
12,12582912,41,0.5240640044212341,0.5307719111442566
12,12582912,42,0.5240640044212341,0.5305800586938858
12,12582912,43,0.5238400101661682,0.5304981023073196
12,12582912,44,0.5274559855461121,0.53403340280056
12,12582912,45,0.5238400101661682,0.5306005477905273
12,12582912,46,0.5242239832878113,0.5307905375957489
12,12582912,47,0.5241600275039673,0.5307812243700027
12,12582912,48,0.5241600275039673,0.5310885608196259
12,12582912,49,0.5250880122184753,0.5396679043769836
16,16777216,0,0.6980159878730774,0.7052812725305557
16,16777216,1,0.6977919936180115,0.704735517501831
16,16777216,2,0.697920024394989,0.7046982645988464
16,16777216,3,0.700223982334137,0.7068682461977005
16,16777216,4,0.7001280188560486,0.7066633552312851
16,16777216,5,0.6977279782295227,0.7043909281492233
16,16777216,6,0.6978560090065002,0.7045101374387741
16,16777216,7,0.6975039839744568,0.7041599601507187
16,16777216,8,0.699999988079071,0.7067490369081497
16,16777216,9,0.6976959705352783,0.7046125829219818
16,16777216,10,0.6980479955673218,0.7046014070510864
16,16777216,11,0.6978240013122559,0.7044058293104172
16,16777216,12,0.6978560090065002,0.7044579833745956
16,16777216,13,0.7010239958763123,0.7077157497406006
16,16777216,14,0.6983039975166321,0.7048528641462326
16,16777216,15,0.6977279782295227,0.7044095546007156
16,16777216,16,0.6976320147514343,0.7043983787298203
16,16777216,17,0.6980800032615662,0.704864040017128
16,16777216,18,0.6976320147514343,0.7042456418275833
16,16777216,19,0.6977919936180115,0.7044821977615356
16,16777216,20,0.6976000070571899,0.7041990756988525
16,16777216,21,0.6976320147514343,0.7045883685350418
16,16777216,22,0.6980479955673218,0.7046926766633987
16,16777216,23,0.6976320147514343,0.7042083889245987
16,16777216,24,0.6975039839744568,0.7041711360216141
16,16777216,25,0.6980479955673218,0.7047802209854126
16,16777216,26,0.6982079744338989,0.7048863917589188
16,16777216,27,0.697920024394989,0.7045120000839233
16,16777216,28,0.7000640034675598,0.7067900151014328
16,16777216,29,0.6980479955673218,0.7047690451145172
16,16777216,30,0.697920024394989,0.7044877856969833
16,16777216,31,0.6976959705352783,0.704227015376091
16,16777216,32,0.6976959705352783,0.7042605429887772
16,16777216,33,0.6976640224456787,0.7044058293104172
16,16777216,34,0.697920024394989,0.7045343518257141
16,16777216,35,0.6977919936180115,0.7043313235044479
16,16777216,36,0.6977279782295227,0.7043126970529556
16,16777216,37,0.6978560090065002,0.7045511156320572
16,16777216,38,0.697983980178833,0.7045809179544449
16,16777216,39,0.6976320147514343,0.7042568176984787
16,16777216,40,0.6976000070571899,0.7041692733764648
16,16777216,41,0.6978880167007446,0.7047839462757111
16,16777216,42,0.697920024394989,0.7057134062051773
16,16777216,43,0.6977599859237671,0.7044784724712372
16,16777216,44,0.697983980178833,0.7046777755022049
16,16777216,45,0.6976000070571899,0.7045865058898926
16,16777216,46,0.6983039975166321,0.7049385458230972
16,16777216,47,0.6975359916687012,0.7041655480861664
16,16777216,48,0.6977279782295227,0.7045157253742218
16,16777216,49,0.6977599859237671,0.704694539308548
24,25165824,0,1.0534080266952515,1.0623782873153687
24,25165824,1,1.045248031616211,1.0523851960897446
24,25165824,2,1.048095941543579,1.0546781122684479
24,25165824,3,1.0452799797058105,1.0519567877054214
24,25165824,4,1.045248031616211,1.0519400238990784
24,25165824,5,1.0452799797058105,1.0521169751882553
24,25165824,6,1.0478719472885132,1.0544545948505402
24,25165824,7,1.045375943183899,1.0519549250602722
24,25165824,8,1.0453439950942993,1.0520126670598984
24,25165824,9,1.0476160049438477,1.0542981326580048
24,25165824,10,1.0452799797058105,1.051880419254303
24,25165824,11,1.0455360412597656,1.0520406067371368
24,25165824,12,1.0477759838104248,1.0543987154960632
24,25165824,13,1.0451840162277222,1.0520238429307938
24,25165824,14,1.0469119548797607,1.0536201298236847
24,25165824,15,1.046239972114563,1.0527689009904861
24,25165824,16,1.045375943183899,1.0522585362195969
24,25165824,17,1.0474560260772705,1.0542608797550201
24,25165824,18,1.045408010482788,1.0520275682210922
24,25165824,19,1.0454399585723877,1.0521560907363892
24,25165824,20,1.0456000566482544,1.052122563123703
24,25165824,21,1.0476160049438477,1.0543838143348694
24,25165824,22,1.0454399585723877,1.052219420671463
24,25165824,23,1.0455679893493652,1.052236184477806
24,25165824,24,1.0452799797058105,1.0519400238990784
24,25165824,25,1.047808051109314,1.0546166449785233
24,25165824,26,1.0458879470825195,1.052727922797203
