phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,2,11,9,4.025615593155921,3.7161097874949904,0.30950580566093056,0.07688409350041553,70400
prefill,2,12,10,4.03588022414453,3.7427707846179064,0.2931094395266238,0.0726259014757439,70400
prefill,2,13,11,4.038024206365372,3.784622111862379,0.2534020945029929,0.06275398104437821,70400
prefill,2,14,12,4.05993443384796,3.7856833383513284,0.27425109549663196,0.06755062180565805,70400
prefill,2,15,13,4.037836313137348,3.806501951150144,0.2313343619872037,0.057291664160467125,70400
prefill,3,4,1,4.035241618087325,3.6468952070590577,0.3883464110282677,0.09623870087173145,70400
prefill,3,5,2,4.034387363527883,3.6540755286892788,0.3803118348386043,0.09426755553438959,70400
prefill,3,6,3,3.9706783721394365,3.5857516557192053,0.38492671642023124,0.0969423056576676,70400
prefill,3,7,4,4.00877001147177,3.614754722689546,0.39401528878222436,0.09828832476163094,70400
prefill,3,8,5,4.008999797265077,3.5810303489424498,0.4279694483226275,0.10675217509728648,70400
prefill,3,9,6,4.050920553773247,3.598426604271306,0.45249394950194155,0.11170151166762926,70400
prefill,3,10,7,4.075507141945451,3.630601188452015,0.4449059534934361,0.1091657891884001,70400
prefill,3,11,8,4.025615593155921,3.6432022806365016,0.38241331251941935,0.0949949898767216,70400
prefill,3,12,9,4.03588022414453,3.670180136813118,0.36570008733141224,0.09061222509618165,70400
prefill,3,13,10,4.038024206365372,3.7269726443321773,0.3110515620331946,0.07703063333371454,70400
prefill,3,14,11,4.05993443384796,3.7269933641899478,0.3329410696580126,0.08200651391861391,70400
prefill,3,15,12,4.037836313137348,3.755300419556699,0.2825358935806488,0.06997210180645534,70400
prefill,4,5,1,4.034387363527883,3.6293353567116444,0.40505200681623865,0.10039987991188819,70400
prefill,4,6,2,3.9706783721394365,3.5690090703108854,0.4016693018285511,0.10115886107696205,70400
prefill,4,7,3,4.00877001147177,3.610462390453096,0.39830762101867423,0.09935906023015785,70400
prefill,4,8,4,4.008999797265077,3.582687826176125,0.42631197108895247,0.10633873600586877,70400
prefill,4,9,5,4.050920553773247,3.6058429200371,0.4450776337361475,0.10987073871927161,70400
prefill,4,10,6,4.075507141945451,3.649403103467046,0.42610403847840495,0.10455239645954918,70400
prefill,4,11,7,4.025615593155921,3.645867235496649,0.3797483576592722,0.09433299053811661,70400
prefill,4,12,8,4.03588022414453,3.6740391289637184,0.36184109518081176,0.08965605396713917,70400
prefill,4,13,9,4.038024206365372,3.7202894921080256,0.31773471425734634,0.07868568835136815,70400
prefill,4,14,10,4.05993443384796,3.7343876564281824,0.325546777419778,0.0801852302602898,70400
prefill,4,15,11,4.037836313137348,3.752626772984562,0.28520954015278566,0.0706342501365989,70400
prefill,5,6,1,3.9706783721394365,3.52775352989668,0.4429248422427565,0.11154890946357479,70400
prefill,5,7,2,4.00877001147177,3.573878811700216,0.4348911997715543,0.1084849463868069,70400
prefill,5,8,3,4.008999797265077,3.5543973908736133,0.454602406391464,0.11339546754319914,70400
prefill,5,9,4,4.050920553773247,3.587511176099672,0.4634093776735755,0.11439606665253675,70400
prefill,5,10,5,4.075507141945451,3.6387003652615557,0.4368067766838952,0.10717850845806265,70400
prefill,5,11,6,4.025615593155921,3.6239979726697626,0.40161762048615834,0.09976551689857358,70400
prefill,5,12,7,4.03588022414453,3.6490951940861494,0.38678503005838083,0.09583659786146556,70400
prefill,5,13,8,4.038024206365372,3.7017622334554336,0.3362619729099383,0.08327388735804729,70400
prefill,5,14,9,4.05993443384796,3.7023700474238392,0.35756438642412114,0.08807146820970348,70400
prefill,5,15,10,4.037836313137348,3.733631969353747,0.3042043437836006,0.07533845361533184,70400
prefill,6,7,1,4.00877001147177,3.551475856853855,0.45729415461791545,0.11407343232694597,70400
prefill,6,8,2,4.008999797265077,3.5256024275140976,0.4833973697509797,0.12057804794122248,70400
prefill,6,9,3,4.050920553773247,3.5620626857229625,0.48885786805028486,0.12067821660805865,70400
prefill,6,10,4,4.075507141945451,3.608705212870761,0.46680192907468987,0.11453836610181012,70400
prefill,6,11,5,4.025615593155921,3.6133620285327694,0.41225356462315155,0.1024075834076252,70400
prefill,6,12,6,4.03588022414453,3.6391075009042333,0.3967727232402969,0.0983113227361447,70400
prefill,6,13,7,4.038024206365372,3.701180026262808,0.3368441801025641,0.08341806856223821,70400
prefill,6,14,8,4.05993443384796,3.6942547600269426,0.36567967382101774,0.09007033975039608,70400
prefill,6,15,9,4.037836313137348,3.7239802033555827,0.3138561097817649,0.07772878478521154,70400
prefill,7,8,1,4.008999797265077,3.4903525099583614,0.5186472873067158,0.12937074420920022,70400
prefill,7,9,2,4.050920553773247,3.514263802794065,0.5366567509791822,0.13247772792762152,70400
prefill,7,10,3,4.075507141945451,3.5571663437796928,0.5183407981657582,0.12718436751857273,70400
prefill,7,11,4,4.025615593155921,3.5726540799337774,0.4529615132221436,0.11251981286843138,70400
prefill,7,12,5,4.03588022414453,3.6041439264898547,0.43173629765467547,0.10697450709062828,70400
prefill,7,13,6,4.038024206365372,3.6728165471781224,0.3652076591872495,0.0904421668923013,70400
prefill,7,14,7,4.05993443384796,3.667472265117908,0.39246216873005224,0.09666711990668307,70400
prefill,7,15,8,4.037836313137348,3.710127804233593,0.3277085089037546,0.08115943378822338,70400
prefill,8,9,1,4.050920553773247,3.420322136056372,0.6305984177168753,0.15566793012751182,70400
