baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
learned,4,1.0,17,7,64,112,5000,0.95,0.7110770089285715,0.7014500209263393,0.7202854701450894,0.741015637293458,0.7309348046779632,0.7500376648968086,0.32965959821428575,0.32142857142857145,0.33733258928571425
learned,4,1.0,18,6,64,96,5000,0.95,0.7107340494791665,0.6992167154947917,0.7211517333984375,0.739112853538245,0.7273499823990278,0.7496575326891616,0.3338216145833333,0.3250325520833333,0.3427734375
learned,4,1.0,19,5,64,80,5000,0.95,0.708203125,0.6974121093750001,0.7179211425781251,0.7384395604021847,0.7274033496389165,0.74813404136803,0.3171875,0.30585937500000004,0.3283203125
learned,4,1.0,20,4,64,64,5000,0.95,0.71826171875,0.7056884765625,0.7303466796875,0.7463845014572144,0.7329921782016754,0.7586688786745072,0.343994140625,0.332275390625,0.355712890625
learned,4,1.0,21,3,64,48,5000,0.95,0.69775390625,0.6850565592447917,0.7098002115885417,0.7246888489462435,0.7117453486775048,0.7370074858656153,0.32259114583333337,0.31022135416666663,0.33430989583333337
learned,4,1.0,22,2,64,32,5000,0.95,0.710205078125,0.69580078125,0.7244903564453125,0.7438714504241943,0.7276584327220916,0.7582713842391968,0.33544921875,0.3193359375,0.3515625
learned,4,1.0,23,1,64,16,5000,0.95,0.669677734375,0.652587890625,0.68603515625,0.6978268623352051,0.6787700295448303,0.7163008213043213,0.359375,0.3427734375,0.3759765625
learned,8,2.0,1,23,64,368,5000,0.95,0.9167692764945652,0.9126295006793479,0.9207710597826086,0.9306732853874564,0.9267445117235183,0.9344435330945998,0.7410411005434783,0.7311905570652174,0.7508927055027175
learned,8,2.0,2,22,64,352,5000,0.95,0.9111772017045454,0.9063937100497159,0.9155495383522727,0.9244974097236991,0.9200057042995468,0.9287239223252982,0.7327325994318182,0.7217229669744318,0.743209561434659
learned,8,2.0,3,21,64,336,5000,0.95,0.9001813616071429,0.8956240699404763,0.9044712611607144,0.9145525060594082,0.9102466640761122,0.9188596804626286,0.7084263392857143,0.6991245814732143,0.7172619047619048
learned,8,2.0,4,20,64,320,5000,0.95,0.8955322265625,0.89088134765625,0.9000610351562499,0.9101337939500809,0.9056060743518174,0.9141518853139132,0.696826171875,0.6865722656250001,0.706689453125
learned,8,2.0,5,19,64,304,5000,0.95,0.8910104851973684,0.8860891241776315,0.8958418996710527,0.9060187349095941,0.9012585359159857,0.9104873438598589,0.687294407894737,0.6774259868421053,0.6969071237664475
learned,8,2.0,6,18,64,288,5000,0.95,0.8910183376736112,0.8856333414713542,0.8961859809027778,0.9051235802471638,0.8999075194820761,0.9101480026962235,0.6900499131944444,0.6793050130208333,0.7003038194444444
learned,8,2.0,7,17,64,272,5000,0.95,0.8867331112132353,0.8807301240808824,0.8921907312729779,0.9009569101035595,0.895441954000853,0.9062347001861781,0.6814682904411765,0.6706686580882353,0.6925565831801471
learned,8,2.0,8,16,64,256,5000,0.95,0.881500244140625,0.8753505706787109,0.8872833251953125,0.8948840200901031,0.8886795789003372,0.9007671184837818,0.6759033203125,0.6648544311523438,0.6865234375
learned,8,2.0,9,15,64,240,5000,0.95,0.8787434895833334,0.8722005208333333,0.8849300130208334,0.8931103395298123,0.8866542806150391,0.8993229533545672,0.6694010416666667,0.6581363932291667,0.6807291666666667
learned,8,2.0,10,14,64,224,5000,0.95,0.8696289062500001,0.8628976004464286,0.8758374895368304,0.8849156564101577,0.878322052815929,0.8908831570995972,0.6540876116071428,0.6429966517857143,0.6646902901785714
learned,8,2.0,11,13,64,208,5000,0.95,0.8714693509615384,0.8643704927884617,0.8783245380108173,0.886488588526845,0.879629953042604,0.8930783841293305,0.657451923076923,0.6461820162259615,0.6684194711538461
learned,8,2.0,12,12,64,192,5000,0.95,0.8723551432291667,0.8637288411458333,0.8799235026041666,0.8879258641973138,0.8796537766233087,0.895536243962124,0.6552734374999999,0.641925048828125,0.6681315104166665
learned,8,2.0,13,11,64,176,5000,0.95,0.8746448863636365,0.8663219105113636,0.8817921031605114,0.890103598125279,0.8819026166107505,0.8975007268600166,0.6620205965909091,0.6482599431818182,0.6748934659090908
learned,8,2.0,14,10,64,160,5000,0.95,0.8785156249999999,0.869970703125,0.8863037109375,0.8921796334907413,0.8837900008773432,0.8999256579438224,0.6828124999999999,0.6678686523437499,0.69756103515625
learned,8,2.0,15,9,64,144,5000,0.95,0.8800184461805556,0.8711480034722222,0.8880757649739582,0.8946407632902265,0.88617262984626,0.9023868481395766,0.6813151041666665,0.6655815972222222,0.6958550347222223
learned,8,2.0,16,8,64,128,5000,0.95,0.873779296875,0.863525390625,0.882537841796875,0.8884869813919067,0.8790251389145851,0.897261418402195,0.669921875,0.654296875,0.6845703125
learned,8,2.0,17,7,64,112,5000,0.95,0.8746512276785714,0.8646763392857143,0.8837899344308036,0.8901999332010746,0.8803750322433188,0.8989689105655998,0.6675502232142857,0.6516462053571428,0.68359375
learned,8,2.0,18,6,64,96,5000,0.95,0.8739420572916665,0.862060546875,0.8837493896484375,0.8888027649372816,0.877410518238321,0.8983444826444611,0.6717122395833333,0.6552734375,0.6876627604166666
learned,8,2.0,19,5,64,80,5000,0.95,0.8736328124999999,0.8624499511718751,0.8835449218749999,0.8896033288910985,0.8784456466790289,0.8996271865209564,0.6703125000000001,0.6544921875,0.6859375000000001
learned,8,2.0,20,4,64,64,5000,0.95,0.8763427734375,0.864013671875,0.887451171875,0.8903228044509888,0.8778125703334808,0.9013379871845245,0.68701171875,0.670166015625,0.70263671875
learned,8,2.0,21,3,64,48,5000,0.95,0.8699544270833333,0.8560384114583333,0.8819986979166666,0.8834708500653505,0.8694746505934745,0.8955761909484863,0.671875,0.6533203125,0.6901041666666667
learned,8,2.0,22,2,64,32,5000,0.95,0.8748779296875,0.8607177734375,0.88671875,0.8896627426147461,0.8756829023361206,0.901586365699768,0.67724609375,0.65576171875,0.69775390625
learned,8,2.0,23,1,64,16,5000,0.95,0.8466796875,0.83056640625,0.860595703125,0.8650579452514648,0.8495774745941163,0.8795544862747192,0.6279296875,0.60546875,0.6494140625
learned,12,3.0,1,23,64,368,5000,0.95,0.9584324048913043,0.9555128014605978,0.9612880540930707,0.9660273659974337,0.9633217886323109,0.9684931068215519,0.8587381114130435,0.8502887228260869,0.8668913468070653
learned,12,3.0,2,22,64,352,5000,0.95,0.955322265625,0.9521262428977273,0.9584295099431818,0.9627627665176988,0.9597794120199978,0.9657376062590629,0.8505859375,0.8419744318181819,0.859420498934659
learned,12,3.0,3,21,64,336,5000,0.95,0.9486607142857142,0.9454171316964286,0.9518345424107143,0.957085995003581,0.954066185769625,0.9599677653284744,0.8314732142857142,0.822451636904762,0.83984375
learned,12,3.0,4,20,64,320,5000,0.95,0.946923828125,0.9437741088867188,0.9498660278320313,0.9550182614475489,0.9521222207229585,0.9578174580121412,0.8277343749999999,0.8195300292968749,0.835791015625
learned,12,3.0,5,19,64,304,5000,0.95,0.9446314761513157,0.941033293071546,0.9480365953947367,0.953206991776824,0.9497308590682223,0.9564573612995446,0.8213404605263157,0.8120361328125,0.8304379111842106
learned,12,3.0,6,18,64,288,5000,0.95,0.9429389105902778,0.9390323215060764,0.9465606689453125,0.9511334113776684,0.9473741773981601,0.9546127077424899,0.8184678819444444,0.8089735243055556,0.828125
learned,12,3.0,7,17,64,272,5000,0.95,0.943459903492647,0.9391508214613971,0.9475815716911764,0.9515757309272885,0.9476743056671694,0.9553677633637563,0.8206571691176471,0.8100284352022058,0.8310546875
