request_id,sample_id,domain,phase,baseline,delta,layer_pairs,candidate_count,candidate_amplification,forecasts,selection_coverage,routed_mass_coverage,complete_route_coverage
6,gsm8k-00040,math,decode,learned,12,12,4,1.0,192,0.6875,0.7176768183708191,0.2864583333333333
6,gsm8k-00040,math,decode,learned,13,11,4,1.0,176,0.703125,0.7315729260444641,0.3125
6,gsm8k-00040,math,decode,learned,14,10,4,1.0,160,0.7015625,0.7336486577987671,0.34375
6,gsm8k-00040,math,decode,learned,15,9,4,1.0,144,0.7013888888888888,0.732086181640625,0.3125
6,gsm8k-00040,math,decode,learned,16,8,4,1.0,128,0.703125,0.7336845397949219,0.34375
6,gsm8k-00040,math,decode,learned,17,7,4,1.0,112,0.71875,0.7459803819656372,0.32142857142857145
6,gsm8k-00040,math,decode,learned,18,6,4,1.0,96,0.7135416666666666,0.7417805790901184,0.3125
6,gsm8k-00040,math,decode,learned,19,5,4,1.0,80,0.671875,0.7131713628768921,0.2375
6,gsm8k-00040,math,decode,learned,20,4,4,1.0,64,0.734375,0.7779541015625,0.359375
6,gsm8k-00040,math,decode,learned,21,3,4,1.0,48,0.6770833333333334,0.717041015625,0.2916666666666667
6,gsm8k-00040,math,decode,learned,22,2,4,1.0,32,0.75,0.8047027587890625,0.28125
6,gsm8k-00040,math,decode,learned,23,1,4,1.0,16,0.625,0.636138916015625,0.1875
7,wikitext2-00043,general,decode,learned,1,23,4,1.0,368,0.8600543478260869,0.889560878276825,0.5489130434782609
7,wikitext2-00043,general,decode,learned,2,22,4,1.0,352,0.8465909090909091,0.8777715563774109,0.5142045454545454
7,wikitext2-00043,general,decode,learned,3,21,4,1.0,336,0.8385416666666666,0.8652968406677246,0.5029761904761905
7,wikitext2-00043,general,decode,learned,4,20,4,1.0,320,0.83984375,0.8703765869140625,0.49375
7,wikitext2-00043,general,decode,learned,5,19,4,1.0,304,0.834703947368421,0.8628652691841125,0.48355263157894735
7,wikitext2-00043,general,decode,learned,6,18,4,1.0,288,0.8289930555555556,0.857666015625,0.4861111111111111
7,wikitext2-00043,general,decode,learned,7,17,4,1.0,272,0.8345588235294118,0.8622598052024841,0.49264705882352944
7,wikitext2-00043,general,decode,learned,8,16,4,1.0,256,0.8251953125,0.8493213653564453,0.4921875
7,wikitext2-00043,general,decode,learned,9,15,4,1.0,240,0.81875,0.8469889163970947,0.49583333333333335
7,wikitext2-00043,general,decode,learned,10,14,4,1.0,224,0.8091517857142857,0.8333151936531067,0.4642857142857143
7,wikitext2-00043,general,decode,learned,11,13,4,1.0,208,0.8112980769230769,0.8383366465568542,0.46153846153846156
7,wikitext2-00043,general,decode,learned,12,12,4,1.0,192,0.8359375,0.8594207763671875,0.53125
7,wikitext2-00043,general,decode,learned,13,11,4,1.0,176,0.8352272727272727,0.8575633764266968,0.5227272727272727
