phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
decode,code,1,2,1,32,static,504,8,0.7140376984126984,0.0496031746031746,4.0,5.6019451198332755,0.0,1.0
decode,code,1,2,1,32,transition,504,8,0.8459821428571429,0.2916666666666667,4.0,4.728232189973615,0.22440357852882703,0.640251486898662
decode,code,1,3,2,8,domain_oracle,504,8,0.4149305555555556,0.0,1.0,2.410041841004184,0.0,1.0
decode,code,1,3,2,8,previous_window,504,8,0.41121031746031744,0.0,1.0,2.4318455971049455,0.00024850894632206757,0.9995582063176497
decode,code,1,3,2,8,static,504,8,0.3732638888888889,0.0,1.0,2.6790697674418604,0.0,1.0
decode,code,1,3,2,8,transition,504,8,0.4930555555555556,0.0,1.0,2.028169014084507,0.32032803180914515,0.544213418567295
decode,code,1,3,2,16,domain_oracle,504,8,0.5756448412698413,0.005952380952380952,2.0,3.4743644980611803,0.0,1.0
decode,code,1,3,2,16,previous_window,504,8,0.5724206349206349,0.007936507936507936,2.0,3.4939341421143846,0.0007455268389662028,0.9988194084790973
decode,code,1,3,2,16,static,504,8,0.5334821428571429,0.001984126984126984,2.0,3.7489539748953975,0.0,1.0
decode,code,1,3,2,16,transition,504,8,0.6755952380952381,0.08134920634920635,2.0,2.960352422907489,0.25124254473161034,0.6118641793058216
decode,code,1,3,2,32,domain_oracle,504,8,0.8236607142857143,0.1884920634920635,4.0,4.856368563685637,0.0,1.0
decode,code,1,3,2,32,previous_window,504,8,0.8167162698412699,0.19246031746031747,4.0,4.897661706650471,0.0005591451292246521,0.9990208896769533
decode,code,1,3,2,32,static,504,8,0.7529761904761905,0.10912698412698413,4.0,5.312252964426878,0.0,1.0
decode,code,1,3,2,32,transition,504,8,0.871031746031746,0.39285714285714285,4.0,4.592255125284738,0.16743290258449303,0.7193444789527673
decode,code,1,4,3,8,domain_oracle,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,1,4,3,8,previous_window,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,1,4,3,8,static,504,8,0.4871031746031746,0.0,1.0,2.0529531568228108,0.0,1.0
decode,code,1,4,3,8,transition,504,8,0.5999503968253969,0.005952380952380952,1.0,1.6668044646548161,0.2616799204771372,0.6058965553995368
decode,code,1,4,3,16,domain_oracle,504,8,0.6974206349206349,0.08134920634920635,2.0,2.867709815078236,0.0,1.0
decode,code,1,4,3,16,previous_window,504,8,0.6922123015873016,0.07142857142857142,2.0,2.889286993908993,0.000621272365805169,0.9989303942427307
decode,code,1,4,3,16,static,504,8,0.6830357142857143,0.06547619047619048,2.0,2.9281045751633985,0.0,1.0
decode,code,1,4,3,16,transition,504,8,0.7906746031746031,0.15079365079365079,2.0,2.5294855708908406,0.22179423459244532,0.6505803459622955
decode,code,1,4,3,32,domain_oracle,504,8,0.8794642857142857,0.3531746031746032,4.0,4.548223350253807,0.0,1.0
decode,code,1,4,3,32,previous_window,504,8,0.8673115079365079,0.3412698412698413,4.0,4.611953102659422,0.000621272365805169,0.9989455210131154
decode,code,1,4,3,32,static,504,8,0.8189484126984127,0.2003968253968254,4.0,4.884312537855845,0.0,1.0
decode,code,1,4,3,32,transition,504,8,0.9151785714285714,0.5,4.0,4.3707317073170735,0.18371023856858848,0.6961220777368068
decode,code,2,3,1,8,domain_oracle,504,8,0.4149305555555556,0.0,1.0,2.410041841004184,0.0,1.0
decode,code,2,3,1,8,previous_window,504,8,0.41121031746031744,0.0,1.0,2.4318455971049455,0.00024850894632206757,0.9995582063176497
decode,code,2,3,1,8,static,504,8,0.3732638888888889,0.0,1.0,2.6790697674418604,0.0,1.0
decode,code,2,3,1,8,transition,504,8,0.5560515873015873,0.003968253968253968,1.0,1.7983942908117752,0.3976143141153082,0.45912307264195906
decode,code,2,3,1,16,domain_oracle,504,8,0.5756448412698413,0.005952380952380952,2.0,3.4743644980611803,0.0,1.0
decode,code,2,3,1,16,previous_window,504,8,0.5724206349206349,0.007936507936507936,2.0,3.4939341421143846,0.0007455268389662028,0.9988194084790973
decode,code,2,3,1,16,static,504,8,0.5334821428571429,0.001984126984126984,2.0,3.7489539748953975,0.0,1.0
decode,code,2,3,1,16,transition,504,8,0.7502480158730159,0.12103174603174603,2.0,2.665785123966942,0.29945328031809143,0.5630494080276514
decode,code,2,3,1,32,domain_oracle,504,8,0.8236607142857143,0.1884920634920635,4.0,4.856368563685637,0.0,1.0
decode,code,2,3,1,32,previous_window,504,8,0.8167162698412699,0.19246031746031747,4.0,4.897661706650471,0.0005591451292246521,0.9990208896769533
decode,code,2,3,1,32,static,504,8,0.7529761904761905,0.10912698412698413,4.0,5.312252964426878,0.0,1.0
decode,code,2,3,1,32,transition,504,8,0.9094742063492064,0.5099206349206349,4.0,4.3981456231251705,0.20247266401590458,0.6736754430615456
decode,code,2,4,2,8,domain_oracle,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,2,4,2,8,previous_window,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,2,4,2,8,static,504,8,0.4871031746031746,0.0,1.0,2.0529531568228108,0.0,1.0
decode,code,2,4,2,8,transition,504,8,0.6443452380952381,0.013888888888888888,1.0,1.5519630484988454,0.316351888667992,0.5438628082763266
decode,code,2,4,2,16,domain_oracle,504,8,0.6974206349206349,0.08134920634920635,2.0,2.867709815078236,0.0,1.0
decode,code,2,4,2,16,previous_window,504,8,0.6922123015873016,0.07142857142857142,2.0,2.889286993908993,0.000621272365805169,0.9989303942427307
decode,code,2,4,2,16,static,504,8,0.6830357142857143,0.06547619047619048,2.0,2.9281045751633985,0.0,1.0
decode,code,2,4,2,16,transition,504,8,0.8276289682539683,0.19642857142857142,2.0,2.416541804015583,0.2701292246520875,0.5976766863569005
decode,code,2,4,2,32,domain_oracle,504,8,0.8794642857142857,0.3531746031746032,4.0,4.548223350253807,0.0,1.0
decode,code,2,4,2,32,previous_window,504,8,0.8673115079365079,0.3412698412698413,4.0,4.611953102659422,0.000621272365805169,0.9989455210131154
decode,code,2,4,2,32,static,504,8,0.8189484126984127,0.2003968253968254,4.0,4.884312537855845,0.0,1.0
decode,code,2,4,2,32,transition,504,8,0.9362599206349206,0.5992063492063492,4.0,4.272317880794702,0.21887425447316103,0.6512369114786678
decode,code,2,5,3,8,domain_oracle,504,8,0.5515873015873016,0.0,1.0,1.8129496402877698,0.0,1.0
decode,code,2,5,3,8,previous_window,504,8,0.5515873015873016,0.0,1.0,1.8129496402877698,0.0,1.0
decode,code,2,5,3,8,static,504,8,0.5094246031746031,0.0,1.0,1.9629990262901655,0.0,1.0
decode,code,2,5,3,8,transition,504,8,0.6619543650793651,0.00992063492063492,1.0,1.5106781566129637,0.3210735586481113,0.5448017412232117
decode,code,2,5,3,16,domain_oracle,504,8,0.7286706349206349,0.10317460317460317,2.0,2.7447243022464263,0.0,1.0
decode,code,2,5,3,16,previous_window,504,8,0.7204861111111112,0.09523809523809523,2.0,2.7759036144578313,0.00024850894632206757,0.9995582063176497
decode,code,2,5,3,16,static,504,8,0.6676587301587301,0.041666666666666664,2.0,2.9955423476968797,0.0,1.0
decode,code,2,5,3,16,transition,504,8,0.8459821428571429,0.29563492063492064,2.0,2.3641160949868074,0.26043737574552683,0.6148309953682941
decode,code,2,5,3,32,domain_oracle,504,8,0.9151785714285714,0.5654761904761905,4.0,4.3707317073170735,0.0,1.0
decode,code,2,5,3,32,previous_window,504,8,0.9010416666666666,0.5099206349206349,4.0,4.4393063583815024,0.0003106361829025845,0.9994626833593037
decode,code,2,5,3,32,static,504,8,0.8725198412698413,0.37896825396825395,4.0,4.584422967595224,0.0,1.0
decode,code,2,5,3,32,transition,504,8,0.9389880952380952,0.6329365079365079,4.0,4.259904912836767,0.18992296222664015,0.6892105230004093
decode,code,3,4,1,8,domain_oracle,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,3,4,1,8,previous_window,504,8,0.5319940476190477,0.005952380952380952,1.0,1.8797202797202797,0.0,1.0
decode,code,3,4,1,8,static,504,8,0.4871031746031746,0.0,1.0,2.0529531568228108,0.0,1.0
decode,code,3,4,1,8,transition,504,8,0.6607142857142857,0.021825396825396824,1.0,1.5135135135135136,0.36307157057654077,0.5017688298006382
decode,code,3,4,1,16,domain_oracle,504,8,0.6974206349206349,0.08134920634920635,2.0,2.867709815078236,0.0,1.0
decode,code,3,4,1,16,previous_window,504,8,0.6922123015873016,0.07142857142857142,2.0,2.889286993908993,0.000621272365805169,0.9989303942427307
decode,code,3,4,1,16,static,504,8,0.6830357142857143,0.06547619047619048,2.0,2.9281045751633985,0.0,1.0
decode,code,3,4,1,16,transition,504,8,0.859375,0.2857142857142857,2.0,2.327272727272727,0.3359840954274354,0.5337863071702428
decode,code,3,4,1,32,domain_oracle,504,8,0.8794642857142857,0.3531746031746032,4.0,4.548223350253807,0.0,1.0
decode,code,3,4,1,32,previous_window,504,8,0.8673115079365079,0.3412698412698413,4.0,4.611953102659422,0.000621272365805169,0.9989455210131154
decode,code,3,4,1,32,static,504,8,0.8189484126984127,0.2003968253968254,4.0,4.884312537855845,0.0,1.0
decode,code,3,4,1,32,transition,504,8,0.9481646825396826,0.6626984126984127,4.0,4.218676432121371,0.2750994035785288,0.5897046343068602
decode,code,3,5,2,8,domain_oracle,504,8,0.5515873015873016,0.0,1.0,1.8129496402877698,0.0,1.0
decode,code,3,5,2,8,previous_window,504,8,0.5515873015873016,0.0,1.0,1.8129496402877698,0.0,1.0
decode,code,3,5,2,8,static,504,8,0.5094246031746031,0.0,1.0,1.9629990262901655,0.0,1.0
decode,code,3,5,2,8,transition,504,8,0.6904761904761905,0.027777777777777776,1.0,1.4482758620689655,0.36704771371769385,0.5000325497343382
decode,code,3,5,2,16,domain_oracle,504,8,0.7286706349206349,0.10317460317460317,2.0,2.7447243022464263,0.0,1.0
decode,code,3,5,2,16,previous_window,504,8,0.7204861111111112,0.09523809523809523,2.0,2.7759036144578313,0.00024850894632206757,0.9995582063176497
decode,code,3,5,2,16,static,504,8,0.6676587301587301,0.041666666666666664,2.0,2.9955423476968797,0.0,1.0
decode,code,3,5,2,16,transition,504,8,0.8650793650793651,0.3253968253968254,2.0,2.311926605504587,0.33548707753479123,0.5430067445168305
decode,code,3,5,2,32,domain_oracle,504,8,0.9151785714285714,0.5654761904761905,4.0,4.3707317073170735,0.0,1.0
decode,code,3,5,2,32,previous_window,504,8,0.9010416666666666,0.5099206349206349,4.0,4.4393063583815024,0.0003106361829025845,0.9994626833593037
