phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,3,26,0,1841,0.016534344014944677
prefill,__all__,3,27,18,1832,0.016453513435838483
prefill,__all__,3,28,63,1818,0.01632777697945107
prefill,__all__,3,29,28,1747,0.015690113522057767
prefill,__all__,3,30,25,1734,0.015573358241126599
prefill,__all__,3,31,57,1617,0.014522560712746085
prefill,__all__,3,32,58,1604,0.014405805431814916
prefill,__all__,3,33,4,1569,0.014091464290846387
prefill,__all__,3,34,46,1524,0.013687311395315418
prefill,__all__,3,35,36,1513,0.013588518465296738
prefill,__all__,3,36,47,1493,0.013408894956171863
prefill,__all__,3,37,10,1464,0.013148440867940796
prefill,__all__,3,38,44,1449,0.01301372323609714
prefill,__all__,3,39,24,1448,0.013004742060640897
prefill,__all__,3,40,39,1419,0.01274428797240983
prefill,__all__,3,41,3,1413,0.012690400919672367
prefill,__all__,3,42,51,1380,0.012394022129616324
prefill,__all__,3,43,11,1363,0.01224134214686018
prefill,__all__,3,44,50,1351,0.012133568041385257
prefill,__all__,3,45,35,1273,0.011433036355798247
prefill,__all__,3,46,55,1266,0.011370168127604541
prefill,__all__,3,47,14,1240,0.011136657565742204
prefill,__all__,3,48,6,1234,0.011082770513004742
prefill,__all__,3,49,32,1219,0.010948052881161087
prefill,__all__,3,50,7,1130,0.010148728265555396
prefill,__all__,3,51,34,1129,0.010139747090099151
prefill,__all__,3,52,41,1124,0.010094841212817934
prefill,__all__,3,53,5,1123,0.01008586003736169
prefill,__all__,3,54,2,1064,0.00955597068544331
prefill,__all__,3,55,8,1062,0.009538008334530824
prefill,__all__,3,56,53,964,0.00865785313981894
prefill,__all__,3,57,27,824,0.00740048857594482
prefill,__all__,3,58,60,799,0.007175959189538727
prefill,__all__,3,59,1,779,0.006996335680413852
prefill,__all__,3,60,17,768,0.006897542750395172
prefill,__all__,3,61,13,741,0.006655051013076591
prefill,__all__,3,62,26,717,0.006439502802126742
prefill,__all__,3,63,21,675,0.006062293432964506
prefill,__all__,3,64,16,564,0.005065382957321454
prefill,__all__,4,1,17,5251,0.04716015232073574
prefill,__all__,4,2,21,4508,0.04048713895674666
prefill,__all__,4,3,19,3719,0.03340099152177037
prefill,__all__,4,4,26,3275,0.02941334961919816
prefill,__all__,4,5,25,3116,0.02798534272165541
prefill,__all__,4,6,34,3022,0.027141112228768503
prefill,__all__,4,7,62,2977,0.026736959333237532
prefill,__all__,4,8,55,2667,0.023952794941801983
prefill,__all__,4,9,23,2528,0.022704411553384107
prefill,__all__,4,10,43,2466,0.022147578675096997
prefill,__all__,4,11,49,2405,0.021599726972266132
prefill,__all__,4,12,47,2355,0.021150668199453944
prefill,__all__,4,13,6,2275,0.020432174162954446
prefill,__all__,4,14,8,2237,0.020090889495617187
prefill,__all__,4,15,45,2226,0.019992096565598506
prefill,__all__,4,16,52,2137,0.019192771949992814
prefill,__all__,4,17,58,2110,0.018950280212674236
prefill,__all__,4,18,35,2061,0.018510202615318293
prefill,__all__,4,19,48,1973,0.017719859175168846
prefill,__all__,4,20,37,1954,0.017549216841500216
prefill,__all__,4,21,59,1923,0.01727080040235666
prefill,__all__,4,22,41,1908,0.017136082770513004
prefill,__all__,4,23,61,1890,0.016974421612300616
prefill,__all__,4,24,11,1840,0.016525362839488432
prefill,__all__,4,25,42,1804,0.01620204052306366
prefill,__all__,4,26,7,1798,0.016148153470326197
prefill,__all__,4,27,36,1757,0.015779925276620203
prefill,__all__,4,28,14,1662,0.014926713608277051
prefill,__all__,4,29,39,1657,0.014881807730995832
prefill,__all__,4,30,27,1635,0.014684221870958471
prefill,__all__,4,31,10,1581,0.01419923839632131
prefill,__all__,4,32,50,1570,0.01410044546630263
prefill,__all__,4,33,51,1477,0.013265196148871965
prefill,__all__,4,34,12,1426,0.012807156200603536
prefill,__all__,4,35,60,1421,0.012762250323322316
prefill,__all__,4,36,56,1408,0.012645495042391148
prefill,__all__,4,37,28,1391,0.012492815059635004
prefill,__all__,4,38,24,1356,0.012178473918666475
prefill,__all__,4,39,5,1352,0.0121425492168415
prefill,__all__,4,40,4,1318,0.011837189251329214
prefill,__all__,4,41,1,1317,0.011828208075872971
prefill,__all__,4,42,29,1291,0.011594697514010634
prefill,__all__,4,43,9,1242,0.011154619916654692
prefill,__all__,4,44,2,1239,0.011127676390285961
prefill,__all__,4,45,16,1201,0.0107863917229487
prefill,__all__,4,46,38,1195,0.010732504670211238
prefill,__all__,4,47,63,1171,0.010516956459261389
prefill,__all__,4,48,57,1116,0.010022991809167985
prefill,__all__,4,49,33,1114,0.010005029458255496
prefill,__all__,4,50,13,1110,0.009969104756430522
prefill,__all__,4,51,40,1079,0.009690688317286967
prefill,__all__,4,52,3,1074,0.009645782440005747
prefill,__all__,4,53,53,1057,0.009493102457249604
prefill,__all__,4,54,32,1011,0.009079968386262394
prefill,__all__,4,55,20,983,0.00882849547348757
prefill,__all__,4,56,22,980,0.00880155194711884
prefill,__all__,4,57,31,965,0.008666834315275183
prefill,__all__,4,58,54,754,0.00677180629400776
prefill,__all__,4,59,30,729,0.006547276907601667
prefill,__all__,4,60,46,723,0.006493389854864205
prefill,__all__,4,61,18,713,0.006403578100301768
prefill,__all__,4,62,15,710,0.0063766345739330365
prefill,__all__,4,63,44,704,0.006322747521195574
prefill,__all__,4,64,0,430,0.0038619054461847967
prefill,__all__,5,1,0,5662,0.050851415433251904
prefill,__all__,5,2,42,4592,0.04124155769507113
prefill,__all__,5,3,2,4162,0.037379652248886334
prefill,__all__,5,4,10,3280,0.029458255496479378
prefill,__all__,5,5,40,2884,0.025901710015806868
prefill,__all__,5,6,21,2843,0.025533481822100877
prefill,__all__,5,7,17,2682,0.02408751257364564
prefill,__all__,5,8,14,2677,0.02404260669636442
prefill,__all__,5,9,6,2622,0.023548642046271016
prefill,__all__,5,10,55,2466,0.022147578675096997
prefill,__all__,5,11,23,2361,0.021204555252191407
prefill,__all__,5,12,52,2275,0.020432174162954446
prefill,__all__,5,13,31,2193,0.01969571777554246
prefill,__all__,5,14,63,2189,0.01965979307371749
prefill,__all__,5,15,54,2167,0.019462207213680128
prefill,__all__,5,16,57,2118,0.019022129616324185
prefill,__all__,5,17,8,2114,0.01898620491449921
prefill,__all__,5,18,19,2079,0.01867186377353068
prefill,__all__,5,19,20,2057,0.018474277913493316
prefill,__all__,5,20,37,2014,0.01808808736887484
prefill,__all__,5,21,22,1935,0.017378574507831587
prefill,__all__,5,22,13,1931,0.01734264980600661
prefill,__all__,5,23,60,1894,0.017010346314125593
prefill,__all__,5,24,58,1881,0.016893591033194426
prefill,__all__,5,25,32,1865,0.016749892225894524
prefill,__all__,5,26,44,1749,0.015708075872970254
prefill,__all__,5,27,53,1723,0.015474565311107918
prefill,__all__,5,28,45,1707,0.015330866503808018
prefill,__all__,5,29,28,1698,0.015250035924701824
prefill,__all__,5,30,35,1684,0.015124299468314412
prefill,__all__,5,31,39,1670,0.014998563011927
prefill,__all__,5,32,30,1655,0.014863845380083346
prefill,__all__,5,33,43,1579,0.014181276045408824
prefill,__all__,5,34,18,1577,0.014163313694496336
prefill,__all__,5,35,51,1576,0.014154332519040093
prefill,__all__,5,36,11,1549,0.013911840781721512
prefill,__all__,5,37,50,1484,0.013328064377065671
prefill,__all__,5,38,34,1427,0.012816137376059779
prefill,__all__,5,39,27,1403,0.01260058916510993
prefill,__all__,5,40,26,1362,0.012232360971403938
prefill,__all__,5,41,16,1272,0.011424055180342002
prefill,__all__,5,42,33,1249,0.011217488144848398
prefill,__all__,5,43,41,1194,0.010723523494754994
prefill,__all__,5,44,9,1173,0.010534918810173875
prefill,__all__,5,45,62,1142,0.01025650237103032
prefill,__all__,5,46,59,1087,0.009762537720936916
prefill,__all__,5,47,49,1069,0.00960087656272453
prefill,__all__,5,48,1,1056,0.009484121281793361
prefill,__all__,5,49,4,1012,0.009088949561718638
prefill,__all__,5,50,61,994,0.008927288403506251
prefill,__all__,5,51,38,993,0.008918307228050008
prefill,__all__,5,52,7,956,0.00858600373616899
prefill,__all__,5,53,15,942,0.008460267279781579
prefill,__all__,5,54,56,920,0.008262681419744216
prefill,__all__,5,55,48,901,0.008092039086075586
prefill,__all__,5,56,46,866,0.007777697945107055
prefill,__all__,5,57,29,832,0.00747233797959477
prefill,__all__,5,58,5,807,0.007247808593188677
prefill,__all__,5,59,47,776,0.006969392154045122
prefill,__all__,5,60,12,755,0.006780787469464003
prefill,__all__,5,61,3,743,0.006673013363989079
prefill,__all__,5,62,24,701,0.006295803994826843
prefill,__all__,5,63,25,564,0.005065382957321454
prefill,__all__,5,64,36,554,0.004975571202759017
prefill,__all__,6,1,18,5859,0.052620706998131914
prefill,__all__,6,2,52,4372,0.039265699094697515
prefill,__all__,6,3,57,4184,0.037577238108923695
