phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
prefill,code,8,2421,0.002678318927048667,0.7777777777777778
prefill,conversation,8,1159,0.02151759226003874,0.3333333333333333
prefill,general,8,2991,0.0023731887253365495,0.6
prefill,math,8,1219,0.002097815262037099,0.6
prefill,code,9,2421,0.0025040971303050916,0.45454545454545453
prefill,conversation,9,1159,0.016504862207098153,0.23076923076923078
prefill,general,9,2991,0.0026700160492796575,0.7777777777777778
prefill,math,9,1219,0.0011304193816179505,1.0
prefill,code,10,2421,0.002695954620014784,1.0
prefill,conversation,10,1159,0.016964601893640206,0.14285714285714285
prefill,general,10,2991,0.0034251754775983167,0.7777777777777778
prefill,math,10,1219,0.002020994295804785,0.7777777777777778
prefill,code,11,2421,0.0032494348881664985,1.0
prefill,conversation,11,1159,0.017294184952559903,0.45454545454545453
prefill,general,11,2991,0.0035457333848099774,0.6
prefill,math,11,1219,0.0025495076783480586,0.6
prefill,code,12,2421,0.0029214301437309313,0.7777777777777778
prefill,conversation,12,1159,0.018172912411916792,0.3333333333333333
prefill,general,12,2991,0.0057679572418959804,0.6
prefill,math,12,1219,0.001486004420724728,0.45454545454545453
prefill,code,13,2421,0.0032057819193278734,1.0
prefill,conversation,13,1159,0.017678357675960044,0.3333333333333333
prefill,general,13,2991,0.004131586753226621,0.6
prefill,math,13,1219,0.0021644559008030606,0.7777777777777778
prefill,code,14,2421,0.0025798168204796915,0.7777777777777778
prefill,conversation,14,1159,0.02280458955775551,0.23076923076923078
prefill,general,14,2991,0.002924705442387229,0.7777777777777778
prefill,math,14,1219,0.0037481438333618403,0.7777777777777778
prefill,code,15,2421,0.003627452391705025,1.0
prefill,conversation,15,1159,0.022808913141120227,0.3333333333333333
prefill,general,15,2991,0.0029380135311815386,0.7777777777777778
prefill,math,15,1219,0.0019783929983241927,0.6
