phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
decode,15,code,conversation,0.12843391224828204,0.14285714285714285
decode,15,code,general,0.2966294141672656,0.0
decode,15,code,math,0.15848244571276043,0.06666666666666667
decode,15,conversation,general,0.08260685033037546,0.06666666666666667
decode,15,conversation,math,0.034199546816960164,0.23076923076923078
decode,15,general,math,0.11176190389397428,0.14285714285714285
prefill,0,code,conversation,0.03731689481652087,0.3333333333333333
prefill,0,code,general,0.07315207173652283,0.14285714285714285
prefill,0,code,math,0.06213464890351202,0.23076923076923078
prefill,0,conversation,general,0.02450614586030752,0.14285714285714285
prefill,0,conversation,math,0.015413917600577292,0.45454545454545453
prefill,0,general,math,0.029365154486243918,0.23076923076923078
prefill,1,code,conversation,0.04768030803504898,0.45454545454545453
prefill,1,code,general,0.07644636133482882,0.23076923076923078
prefill,1,code,math,0.07132319139895327,0.23076923076923078
prefill,1,conversation,general,0.012857753949970173,0.3333333333333333
prefill,1,conversation,math,0.012236202550594792,0.3333333333333333
prefill,1,general,math,0.017595502325002267,0.3333333333333333
prefill,2,code,conversation,0.07126772909702028,0.6
prefill,2,code,general,0.12593250513492593,0.06666666666666667
prefill,2,code,math,0.10468919693423404,0.3333333333333333
prefill,2,conversation,general,0.03499173208220659,0.14285714285714285
prefill,2,conversation,math,0.018552546968951512,0.45454545454545453
prefill,2,general,math,0.04641504009175669,0.06666666666666667
prefill,3,code,conversation,0.058676069472775275,0.6
prefill,3,code,general,0.13481242475177538,0.06666666666666667
prefill,3,code,math,0.07529777712439564,0.3333333333333333
prefill,3,conversation,general,0.041095860186454974,0.06666666666666667
prefill,3,conversation,math,0.02118736917511145,0.45454545454545453
prefill,3,general,math,0.05481217162375947,0.0
prefill,4,code,conversation,0.08877597647941853,0.45454545454545453
prefill,4,code,general,0.1834519495181291,0.0
prefill,4,code,math,0.11020341818139101,0.23076923076923078
prefill,4,conversation,general,0.053504651497355615,0.06666666666666667
prefill,4,conversation,math,0.030780478804118133,0.3333333333333333
prefill,4,general,math,0.08811095124033583,0.06666666666666667
prefill,5,code,conversation,0.10729714048299416,0.6
prefill,5,code,general,0.2066805600935609,0.0
prefill,5,code,math,0.1292413247637395,0.23076923076923078
prefill,5,conversation,general,0.05278505206974014,0.06666666666666667
prefill,5,conversation,math,0.04560607169666395,0.23076923076923078
prefill,5,general,math,0.08390748103035936,0.0
prefill,6,code,conversation,0.10945583338183273,0.3333333333333333
prefill,6,code,general,0.21137109778951238,0.06666666666666667
prefill,6,code,math,0.1207222650021176,0.3333333333333333
prefill,6,conversation,general,0.056616748530515265,0.06666666666666667
prefill,6,conversation,math,0.04864329483769107,0.3333333333333333
prefill,6,general,math,0.09868108509302954,0.06666666666666667
prefill,7,code,conversation,0.09481319597468124,0.3333333333333333
prefill,7,code,general,0.19126703837840642,0.06666666666666667
prefill,7,code,math,0.10097263113983646,0.14285714285714285
prefill,7,conversation,general,0.055935590405601504,0.06666666666666667
prefill,7,conversation,math,0.030031058447717987,0.23076923076923078
prefill,7,general,math,0.08215443244105367,0.06666666666666667
prefill,8,code,conversation,0.07372535414616971,0.6
prefill,8,code,general,0.15475972679922867,0.0
prefill,8,code,math,0.0795204000405655,0.3333333333333333
prefill,8,conversation,general,0.04152242688819726,0.06666666666666667
prefill,8,conversation,math,0.029090259303488224,0.45454545454545453
prefill,8,general,math,0.07495104996853641,0.0
prefill,9,code,conversation,0.076281718420708,0.3333333333333333
prefill,9,code,general,0.16474706083333823,0.14285714285714285
prefill,9,code,math,0.09956603212232716,0.23076923076923078
prefill,9,conversation,general,0.03685487775072292,0.06666666666666667
prefill,9,conversation,math,0.02063255774712714,0.45454545454545453
prefill,9,general,math,0.04900304004292452,0.14285714285714285
prefill,10,code,conversation,0.0611857023056739,0.6
prefill,10,code,general,0.13404202758528244,0.06666666666666667
prefill,10,code,math,0.0791129657012166,0.23076923076923078
prefill,10,conversation,general,0.03391047683506035,0.06666666666666667
prefill,10,conversation,math,0.015222306764591388,0.23076923076923078
prefill,10,general,math,0.0488907035363821,0.14285714285714285
prefill,11,code,conversation,0.09066188241256257,0.45454545454545453
prefill,11,code,general,0.18782367262963695,0.06666666666666667
prefill,11,code,math,0.1285919210269143,0.14285714285714285
prefill,11,conversation,general,0.046529336677887195,0.14285714285714285
prefill,11,conversation,math,0.02331601025876548,0.3333333333333333
prefill,11,general,math,0.05086400247586943,0.23076923076923078
prefill,12,code,conversation,0.09463045680517837,0.23076923076923078
prefill,12,code,general,0.19312800491366958,0.06666666666666667
prefill,12,code,math,0.1265566348414015,0.14285714285714285
prefill,12,conversation,general,0.042910451555553335,0.23076923076923078
prefill,12,conversation,math,0.03162067856002179,0.3333333333333333
prefill,12,general,math,0.0633114314592793,0.23076923076923078
prefill,13,code,conversation,0.10867781623526399,0.3333333333333333
