phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,transition,useless,-3.55,-3.4375,-3.49375,0,0.0
decode,32,3,transition,useless,-3.4375,-3.325,-3.38125,0,0.0
decode,32,3,transition,useless,-3.325,-3.2125,-3.26875,0,0.0
decode,32,3,transition,useless,-3.2125,-3.1,-3.15625,0,0.0
decode,32,3,transition,useless,-3.1,-2.9875,-3.04375,0,0.0
decode,32,3,transition,useless,-2.9875,-2.875,-2.93125,0,0.0
decode,32,3,transition,useless,-2.875,-2.7625,-2.81875,0,0.0
decode,32,3,transition,useless,-2.7625,-2.65,-2.70625,0,0.0
decode,32,3,transition,useless,-2.65,-2.5374999999999996,-2.59375,0,0.0
decode,32,3,transition,useless,-2.5374999999999996,-2.425,-2.4812499999999997,0,0.0
decode,32,3,transition,useless,-2.425,-2.3125,-2.36875,0,0.0
decode,32,3,transition,useless,-2.3125,-2.2,-2.25625,0,0.0
decode,32,3,transition,useless,-2.2,-2.0875,-2.14375,1,1.6085051317345558e-05
decode,32,3,transition,useless,-2.0875,-1.975,-2.03125,1,1.6085051317345622e-05
decode,32,3,transition,useless,-1.975,-1.8624999999999998,-1.91875,23,0.00036995618029894787
decode,32,3,transition,useless,-1.8624999999999998,-1.75,-1.80625,137,0.00220365203047635
decode,32,3,transition,useless,-1.75,-1.6374999999999997,-1.6937499999999999,371,0.0059675540387352025
decode,32,3,transition,useless,-1.6374999999999997,-1.525,-1.5812499999999998,768,0.012353319411721438
decode,32,3,transition,useless,-1.525,-1.4125,-1.46875,1922,0.030915468631938288
decode,32,3,transition,useless,-1.4125,-1.2999999999999998,-1.35625,4559,0.0733317489557784
decode,32,3,transition,useless,-1.2999999999999998,-1.1875,-1.24375,8668,0.13942522481875186
decode,32,3,transition,useless,-1.1875,-1.0749999999999997,-1.1312499999999999,15870,0.255269764406274
decode,32,3,transition,useless,-1.0749999999999997,-0.9624999999999999,-1.0187499999999998,27037,0.43489153246707357
decode,32,3,transition,useless,-0.9624999999999999,-0.8500000000000001,-0.90625,40893,0.6577660035202145
decode,32,3,transition,useless,-0.8500000000000001,-0.7374999999999998,-0.79375,53482,0.8602607145542751
decode,32,3,transition,useless,-0.7374999999999998,-0.625,-0.6812499999999999,59565,0.958106081717692
decode,32,3,transition,useless,-0.625,-0.5124999999999997,-0.5687499999999999,54798,0.881428642087902
