phase,delta,candidate_count,baseline,requests,domains,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction,useful_candidate_amplification,brier_score
decode,19,4,transition,32,4,0.6001953124999999,0.6001953124999999,0.6302555084228515,0.17539062500000002,1.0,0.125,1.7212814515374677,
decode,19,8,domain_static,32,4,0.680078125,0.3400390625,0.6908754348754883,0.339453125,2.0,0.25,2.9983460172759235,
decode,19,8,global_static,32,4,0.62490234375,0.312451171875,0.6350893020629883,0.25234375,2.0,0.25,3.300564350097549,
decode,19,8,learned,32,4,0.642578125,0.3212890625,0.6524435043334961,0.23359375,2.0,0.25,3.2030675474637507,0.09129365181433968
decode,19,8,source_copy,32,4,0.52041015625,0.260205078125,0.5263801574707031,0.11054687499999999,2.0,0.25,3.992126257166407,
decode,19,8,transition,32,4,0.8093750000000001,0.40468750000000003,0.8306776046752928,0.529296875,2.0,0.25,2.502671163633119,
decode,19,12,domain_static,32,4,0.8168945312500001,0.2722981770833333,0.8291818618774415,0.5460937499999999,3.0,0.375,3.699543214262019,
decode,19,12,global_static,32,4,0.7730468749999999,0.2576822916666667,0.7881540298461915,0.4734375,3.0,0.375,3.918756564662896,
decode,19,12,learned,32,4,0.7845703125,0.2615234375,0.7967664718627929,0.47460937499999994,3.0,0.375,3.867636887435993,0.09129365181433968
decode,19,12,source_copy,32,4,0.7166015625,0.23886718749999997,0.7306097030639649,0.378515625,3.0,0.375,4.24358498350088,
decode,19,12,transition,32,4,0.8953125,0.2984375,0.9088190078735352,0.7140624999999999,3.0,0.375,3.370385899773791,
decode,19,16,domain_static,32,4,0.9046875000000001,0.22617187500000002,0.9137279510498046,0.706640625,4.0,0.5,4.436131464805709,
decode,19,16,global_static,32,4,0.8734375,0.218359375,0.8818098068237304,0.655078125,4.0,0.5,4.602489277981131,
decode,19,16,learned,32,4,0.8667968749999999,0.21669921874999998,0.8794637680053711,0.6328125,4.0,0.5,4.640199040439059,0.09129365181433968
decode,19,16,source_copy,32,4,0.84248046875,0.2106201171875,0.8481176376342774,0.5828125,4.0,0.5,4.770658278907544,
decode,19,16,transition,32,4,0.9451171875,0.236279296875,0.952718162536621,0.831640625,4.0,0.5,4.242896198898716,
decode,20,4,domain_static,32,4,0.463623046875,0.463623046875,0.4769110679626465,0.05810546875,1.0,0.125,2.270490550493668,
decode,20,4,global_static,32,4,0.4136962890625,0.4136962890625,0.4210078716278076,0.0361328125,1.0,0.125,2.738842074380078,
decode,20,4,learned,32,4,0.407958984375,0.407958984375,0.41951537132263184,0.03466796875,1.0,0.125,2.7291516103789677,0.09099513396176917
decode,20,4,source_copy,32,4,0.155517578125,0.155517578125,0.1529560089111328,0.0,1.0,0.125,6.595175554940389,
decode,20,4,transition,32,4,0.6156005859375,0.6156005859375,0.6393721103668213,0.1806640625,1.0,0.125,1.699650883201521,
decode,20,8,domain_static,32,4,0.6895751953125,0.34478759765625,0.6998229026794434,0.3662109375,2.0,0.25,2.966180067196621,
decode,20,8,global_static,32,4,0.6290283203125,0.31451416015625,0.6394929885864258,0.25244140625,2.0,0.25,3.2924477997132082,
decode,20,8,learned,32,4,0.626708984375,0.3133544921875,0.6400249004364014,0.23486328125,2.0,0.25,3.3035130957482823,0.09099513396176917
decode,20,8,source_copy,32,4,0.537353515625,0.2686767578125,0.5400276184082031,0.1376953125,2.0,0.25,3.9448033654724535,
decode,20,8,transition,32,4,0.8214111328125,0.41070556640625,0.8428633213043213,0.544921875,2.0,0.25,2.4632071451351374,
decode,20,12,domain_static,32,4,0.818603515625,0.27286783854166663,0.8312954902648926,0.5625,3.0,0.375,3.6952256097602407,
decode,20,12,global_static,32,4,0.771240234375,0.257080078125,0.785489559173584,0.4814453125,3.0,0.375,3.9321360154748604,
decode,20,12,learned,32,4,0.7882080078125,0.26273600260416663,0.8045737743377686,0.470703125,3.0,0.375,3.8583493362753707,0.09099513396176917
decode,20,12,source_copy,32,4,0.719482421875,0.23982747395833334,0.725513219833374,0.36962890625,3.0,0.375,4.236611415257467,
decode,20,12,transition,32,4,0.8992919921875,0.29976399739583337,0.9114561080932617,0.7275390625,3.0,0.375,3.3550462794334655,
decode,20,16,domain_static,32,4,0.9027099609375,0.225677490234375,0.9120197296142578,0.70556640625,4.0,0.5,4.447729835830685,
decode,20,16,global_static,32,4,0.8701171875,0.217529296875,0.878575325012207,0.65625,4.0,0.5,4.622822275446659,
decode,20,16,learned,32,4,0.8670654296875,0.216766357421875,0.8757760524749756,0.6337890625,4.0,0.5,4.640201952538904,0.09099513396176917
decode,20,16,source_copy,32,4,0.8516845703125,0.212921142578125,0.858288049697876,0.619140625,4.0,0.5,4.722252497136909,
decode,20,16,transition,32,4,0.94140625,0.2353515625,0.9490334987640381,0.830078125,4.0,0.5,4.259123577528818,
decode,21,4,domain_static,32,4,0.4951171875,0.4951171875,0.5160058339436849,0.07747395833333333,1.0,0.125,2.1604959300283264,
decode,21,4,global_static,32,4,0.43147786458333337,0.43147786458333337,0.44438489278157556,0.04817708333333333,1.0,0.125,2.7872182312003053,
decode,21,4,learned,32,4,0.44222005208333326,0.44222005208333326,0.46126588185628253,0.08203125,1.0,0.125,2.628025875121043,0.08895350883540232
decode,21,4,source_copy,32,4,0.13069661458333334,0.13069661458333334,0.12999407450358072,0.0006510416666666666,1.0,0.125,7.857975591317928,
decode,21,4,transition,32,4,0.6043294270833333,0.6043294270833333,0.625835100809733,0.17252604166666666,1.0,0.125,1.7732287656095416,
decode,21,8,domain_static,32,4,0.7169596354166666,0.3584798177083333,0.731962521870931,0.44596354166666663,2.0,0.25,2.8709737156332857,
decode,21,8,global_static,32,4,0.64794921875,0.323974609375,0.6621128718058268,0.3098958333333333,2.0,0.25,3.2179095475176336,
decode,21,8,learned,32,4,0.6510416666666666,0.3255208333333333,0.6775824228922527,0.2740885416666667,2.0,0.25,3.192348498685906,0.08895350883540232
decode,21,8,source_copy,32,4,0.5198567708333333,0.25992838541666663,0.5339199701944987,0.12565104166666666,2.0,0.25,4.222797093355705,
decode,21,8,transition,32,4,0.8154296874999999,0.40771484374999994,0.8376166025797525,0.5501302083333333,2.0,0.25,2.493886454847969,
decode,21,12,domain_static,32,4,0.8331705729166666,0.2777235243055556,0.8514645894368489,0.6009114583333334,3.0,0.375,3.635204875706859,
decode,21,12,global_static,32,4,0.7823893229166666,0.2607964409722222,0.8030290603637695,0.5345052083333333,3.0,0.375,3.8842942348836087,
decode,21,12,learned,32,4,0.7773437499999999,0.25911458333333337,0.8031813303629557,0.46549479166666663,3.0,0.375,3.910084959615637,0.08895350883540232
decode,21,12,source_copy,32,4,0.7205403645833335,0.2401801215277778,0.7388429641723633,0.41015625,3.0,0.375,4.242372590306547,
decode,21,12,transition,32,4,0.8849283854166666,0.2949761284722222,0.8991349538167317,0.693359375,3.0,0.375,3.4158929603751247,
decode,21,16,domain_static,32,4,0.9104817708333333,0.22762044270833331,0.9219919840494791,0.7376302083333334,4.0,0.5,4.413248710443574,
decode,21,16,global_static,32,4,0.87451171875,0.2186279296875,0.8894662857055664,0.677734375,4.0,0.5,4.603535648280198,
decode,21,16,learned,32,4,0.8688151041666666,0.21720377604166666,0.8824329376220703,0.6712239583333335,4.0,0.5,4.6344283623113,0.08895350883540232
decode,21,16,source_copy,32,4,0.8304036458333333,0.20760091145833331,0.8423140843709309,0.59375,4.0,0.5,4.855122097238201,
decode,21,16,transition,32,4,0.9371744791666666,0.23429361979166666,0.9449504216512044,0.8177083333333333,4.0,0.5,4.281204857505812,
decode,22,4,domain_static,32,4,0.481201171875,0.481201171875,0.5076284408569336,0.0703125,1.0,0.125,2.250347520377226,
decode,22,4,global_static,32,4,0.41845703125,0.41845703125,0.4367523193359375,0.03515625,1.0,0.125,2.9854036860707036,
decode,22,4,learned,32,4,0.423828125,0.423828125,0.4437098503112793,0.0703125,1.0,0.125,2.844857140106873,0.09087196562177269
decode,22,4,source_copy,32,4,0.120361328125,0.120361328125,0.1112513542175293,0.0,1.0,0.125,8.7361150442265,
decode,22,4,transition,32,4,0.609375,0.609375,0.6488890647888184,0.1943359375,1.0,0.125,1.786198048426143,
decode,22,8,domain_static,32,4,0.705322265625,0.3526611328125,0.720703125,0.421875,2.0,0.25,2.9144477528515678,
decode,22,8,global_static,32,4,0.62841796875,0.314208984375,0.6465549468994141,0.267578125,2.0,0.25,3.347896539298067,
decode,22,8,learned,32,4,0.606201171875,0.3031005859375,0.6350727081298828,0.2255859375,2.0,0.25,3.442875174818875,0.09087196562177269
decode,22,8,source_copy,32,4,0.508544921875,0.2542724609375,0.5205240249633789,0.1318359375,2.0,0.25,4.455808678562219,
decode,22,8,transition,32,4,0.80712890625,0.403564453125,0.8318853378295898,0.51953125,2.0,0.25,2.5286530502139164,
decode,22,12,domain_static,32,4,0.823486328125,0.2744954427083333,0.8415842056274414,0.568359375,3.0,0.375,3.683191972687845,
decode,22,12,global_static,32,4,0.766845703125,0.255615234375,0.7884526252746582,0.4931640625,3.0,0.375,3.962968157913047,
decode,22,12,learned,32,4,0.768798828125,0.2562662760416667,0.7846088409423828,0.423828125,3.0,0.375,3.9569239528124402,0.09087196562177269
decode,22,12,source_copy,32,4,0.70654296875,0.23551432291666663,0.7185602188110352,0.3896484375,3.0,0.375,4.343228366512172,
decode,22,12,transition,32,4,0.88720703125,0.29573567708333337,0.9020662307739258,0.7158203125,3.0,0.375,3.4129053046504816,
decode,22,16,domain_static,32,4,0.90625,0.2265625,0.9177451133728027,0.7265625,4.0,0.5,4.437320412071875,
decode,22,16,global_static,32,4,0.86962890625,0.2174072265625,0.8877863883972168,0.6650390625,4.0,0.5,4.628671530508085,
decode,22,16,learned,32,4,0.871337890625,0.21783447265625,0.8775544166564941,0.642578125,4.0,0.5,4.619415581228142,0.09087196562177269
decode,22,16,source_copy,32,4,0.82080078125,0.2052001953125,0.8298993110656738,0.55859375,4.0,0.5,4.905851448130763,
decode,22,16,transition,32,4,0.936279296875,0.23406982421875,0.9448127746582031,0.8076171875,4.0,0.5,4.285001296702289,
decode,23,4,domain_static,32,4,0.50341796875,0.50341796875,0.5387115478515625,0.107421875,1.0,0.125,2.3324771053070132,
decode,23,4,global_static,32,4,0.43115234375,0.43115234375,0.44994354248046875,0.0546875,1.0,0.125,3.236142400153903,
decode,23,4,learned,32,4,0.41552734375,0.41552734375,0.437652587890625,0.07421875,1.0,0.125,3.94674854019362,0.09129200680035865
decode,23,4,source_copy,32,4,0.09716796875,0.09716796875,0.09820079803466797,0.0,1.0,0.125,14.001587301587303,
decode,23,4,transition,32,4,0.58837890625,0.58837890625,0.6345005035400391,0.16796875,1.0,0.125,1.9996915935371495,
decode,23,8,domain_static,32,4,0.72314453125,0.361572265625,0.7420082092285156,0.4609375,2.0,0.25,2.864175756682271,
decode,23,8,global_static,32,4,0.62353515625,0.311767578125,0.6555147171020508,0.248046875,2.0,0.25,3.4293215091118747,
decode,23,8,learned,32,4,0.63330078125,0.316650390625,0.6666927337646484,0.24609375,2.0,0.25,3.364358807765566,0.09129200680035865
