phase,domain,delta,predictions,positive_frequency,mean_score,brier_score,expected_calibration_error
decode,code,22,8192,0.125,0.12505240738391876,0.11019621044397354,0.04969021656052064
decode,code,23,4096,0.125,0.12417545914649963,0.11283087730407715,0.06857619105721824
decode,conversation,1,94208,0.125,0.12616951763629913,0.08900950103998184,0.005548334268615175
decode,conversation,2,90112,0.125,0.12569162249565125,0.08825793117284775,0.004441096282293568
decode,conversation,3,86016,0.125,0.12695828080177307,0.08760343492031097,0.004753741411799896
decode,conversation,4,81920,0.125,0.12678326666355133,0.08754755556583405,0.007184996797059281
decode,conversation,5,77824,0.125,0.12572361528873444,0.08881047368049622,0.005709492100370545
decode,conversation,6,73728,0.125,0.12632793188095093,0.0887933224439621,0.00447503501386058
decode,conversation,7,69632,0.125,0.12433209270238876,0.08803250640630722,0.005744585939603843
decode,conversation,8,65536,0.125,0.12381072342395782,0.08782568573951721,0.002892400790187822
decode,conversation,9,61440,0.125,0.12617063522338867,0.08668599277734756,0.007631043164413622
decode,conversation,10,57344,0.125,0.1255921572446823,0.0873437449336052,0.006203422486188559
decode,conversation,11,53248,0.125,0.1258891373872757,0.08861891180276871,0.005002574370826974
decode,conversation,12,49152,0.125,0.12499973922967911,0.08925604820251465,0.0067521226364988226
decode,conversation,13,45056,0.125,0.12608636915683746,0.09059052169322968,0.005530881320076088
decode,conversation,14,40960,0.125,0.12568600475788116,0.09154711663722992,0.004252891595024261
decode,conversation,15,36864,0.125,0.1252029985189438,0.09075840562582016,0.005078223832242658
decode,conversation,16,32768,0.125,0.12371551990509033,0.0910997986793518,0.005899417869045463
decode,conversation,17,28672,0.125,0.12580528855323792,0.08993053436279297,0.007847404720191015
decode,conversation,18,24576,0.125,0.12529857456684113,0.09048646688461304,0.008191101839050438
decode,conversation,19,20480,0.125,0.1285465657711029,0.08915815502405167,0.009303322153573393
decode,conversation,20,16384,0.125,0.12750983238220215,0.08808386325836182,0.011414599493718926
decode,conversation,21,12288,0.125,0.12830941379070282,0.0850643739104271,0.01861478916544002
decode,conversation,22,8192,0.125,0.1256764829158783,0.08737745881080627,0.017802548925828887
decode,conversation,23,4096,0.125,0.123599573969841,0.08641443401575089,0.024386863642575918
decode,general,1,94208,0.125,0.1266622692346573,0.08074305951595306,0.020261650755935036
decode,general,2,90112,0.125,0.1260853260755539,0.0794488862156868,0.018998451298970893
decode,general,3,86016,0.125,0.1268012672662735,0.07823870331048965,0.024635762634889462
decode,general,4,81920,0.125,0.1266312152147293,0.07866285741329193,0.02457886836405123
decode,general,5,77824,0.125,0.12556307017803192,0.07966507226228714,0.024301116859580935
decode,general,6,73728,0.125,0.12625260651111603,0.07926829904317856,0.02504714855139253
decode,general,7,69632,0.125,0.12423200905323029,0.07774747163057327,0.025545928735535947
decode,general,8,65536,0.125,0.12301769852638245,0.07702252268791199,0.026612575520687187
decode,general,9,61440,0.125,0.1251339614391327,0.0761333778500557,0.02798610509817081
decode,general,10,57344,0.125,0.1253831833600998,0.07727731764316559,0.029829860078929675
decode,general,11,53248,0.125,0.1251162737607956,0.07923707365989685,0.029441981361042754
decode,general,12,49152,0.125,0.1251896321773529,0.07953343540430069,0.03140668484487227
decode,general,13,45056,0.125,0.12635062634944916,0.08200705051422119,0.027754389119515756
decode,general,14,40960,0.125,0.12519924342632294,0.08357623964548111,0.0257164324482801
decode,general,15,36864,0.125,0.12571007013320923,0.08225858211517334,0.027136333076668958
decode,general,16,32768,0.125,0.12302999198436737,0.08320841193199158,0.0246461952883692
decode,general,17,28672,0.125,0.12611068785190582,0.08077555149793625,0.026973588617173454
decode,general,18,24576,0.125,0.12472603470087051,0.08128617703914642,0.03023790559230595
decode,general,19,20480,0.125,0.12709124386310577,0.07851193100214005,0.03597237554167805
decode,general,20,16384,0.125,0.12656834721565247,0.07666535675525665,0.034126766578083334
decode,general,21,12288,0.125,0.12880739569664001,0.07213733345270157,0.04561901170382043
decode,general,22,8192,0.125,0.12559719383716583,0.07581180334091187,0.04186066607326211
decode,general,23,4096,0.125,0.12325377762317657,0.07340685278177261,0.052926121999917086
decode,math,1,94208,0.125,0.12681685388088226,0.09280752390623093,0.010654619543303217
decode,math,2,90112,0.125,0.1259962022304535,0.09271610528230667,0.010319821770115754
decode,math,3,86016,0.125,0.1269768923521042,0.09151675552129745,0.007374654940100468
