phase,target_layer,candidate_count,candidate_replacement_fraction,candidate_retention_fraction,comparison
prefill,4,12,0.19918534411213212,0.8008146558878679,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,4,16,0.1584366050625865,0.8415633949374135,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,5,4,0.2760104883895029,0.7239895116104971,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,5,8,0.32294333765348143,0.6770566623465186,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,5,12,0.28180942787931396,0.718190572120686,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,5,16,0.19533744952074528,0.8046625504792547,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,6,4,0.457259458725165,0.542740541274835,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,6,8,0.29396704657156897,0.7060329534284311,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,6,12,0.24112884243954558,0.7588711575604544,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,6,16,0.17641568697641957,0.8235843130235805,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,7,4,0.447067113678878,0.552932886321122,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,7,8,0.32754409163293485,0.6724559083670651,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,7,12,0.2701129502953282,0.7298870497046718,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,7,16,0.22246241131848407,0.7775375886815159,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,8,4,0.3668857523961512,0.6331142476038488,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,8,8,0.2569780169336023,0.7430219830663978,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,8,12,0.1808865152255596,0.8191134847744403,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,8,16,0.15936832693004682,0.8406316730699532,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,9,4,0.2974813281572417,0.7025186718427583,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,9,8,0.2574295475801081,0.742570452419892,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,9,12,0.20891519821739457,0.7910848017826054,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,9,16,0.13840390330419766,0.8615960966958023,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,10,4,0.3279433280871258,0.6720566719128742,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,10,8,0.19753470255500727,0.8024652974449927,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,10,12,0.16617742592744836,0.8338225740725517,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,10,16,0.13748295511427663,0.8625170448857233,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,11,4,0.34196557132685423,0.6580344286731458,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,11,8,0.2751465408976143,0.7248534591023856,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,11,12,0.19709411179547837,0.8029058882045217,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,11,16,0.11106719302701674,0.8889328069729833,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,12,4,0.21570420604033919,0.7842957939596609,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,12,8,0.2340401371099218,0.7659598628900782,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,12,12,0.21438892779194688,0.7856110722080532,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,12,16,0.19008192176283123,0.8099180782371688,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,13,4,0.3177771598867688,0.6822228401132312,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,13,8,0.258086053037455,0.741913946962545,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,13,12,0.20549646674741823,0.7945035332525818,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,13,16,0.1498420810587144,0.8501579189412856,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,14,4,0.27074200344623234,0.7292579965537677,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,14,8,0.296915369237453,0.703084630762547,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,14,12,0.26681376175318783,0.7331862382468122,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,14,16,0.21961218816420353,0.7803878118357965,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,15,4,0.3439852971351255,0.6560147028648745,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,15,8,0.2901720010917848,0.7098279989082152,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,15,12,0.21795543074953155,0.7820445692504685,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,15,16,0.14906717756795232,0.8509328224320477,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,16,4,0.37697682052821146,0.6230231794717885,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,16,8,0.23814948011245288,0.7618505198875472,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,16,12,0.15195115689822125,0.8480488431017787,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,16,16,0.10711422859996075,0.8928857714000392,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,17,4,0.15727756244278726,0.8427224375572128,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,17,8,0.1363968512864985,0.8636031487135015,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,17,12,0.13614901016194977,0.8638509898380502,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,17,16,0.10499996539467091,0.8950000346053291,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,18,4,0.2585190818648978,0.7414809181351022,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,18,8,0.1920244166377718,0.8079755833622282,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,18,12,0.19674826145598534,0.8032517385440147,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,18,16,0.16486109164884039,0.8351389083511596,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,19,4,0.3289568694736899,0.67104313052631,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,19,8,0.1738998673844403,0.8261001326155597,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,19,12,0.11949230413988382,0.8805076958601161,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,19,16,0.08752847110385856,0.9124715288961415,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,20,4,0.08453369365034036,0.9154663063496596,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,20,8,0.18693592917576296,0.813064070824237,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,20,12,0.1702822640650317,0.8297177359349683,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,20,16,0.0942116560646946,0.9057883439353054,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,21,4,0.04572724815310063,0.9542727518468994,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,21,8,0.12678574846484236,0.8732142515351576,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,21,12,0.10306922867356993,0.8969307713264301,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,21,16,0.09749712479846302,0.9025028752015369,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,22,4,0.17974131520733494,0.8202586847926651,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,22,8,0.12072032395622292,0.8792796760437771,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,22,12,0.1015054043994118,0.8984945956005882,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,22,16,0.08631172325244935,0.9136882767475507,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,23,4,0.09885573652427707,0.901144263475723,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,23,8,0.09114530826631612,0.9088546917336839,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,23,12,0.09675476168054215,0.9032452383194578,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,23,16,0.0890330118869379,0.9109669881130621,source_layer_l_minus_1_vs_l_for_fixed_target
