phase,delta,score_threshold,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,mean_candidate_count,candidate_amplification,candidate_set_fraction
decode,11,0.15,0.7162710336538463,0.2982913934684417,0.7372493010300856,0.32797475961538464,9.608323317307692,2.402080829326923,0.30026010366586536
decode,12,0.15,0.7146809895833333,0.2973074486366312,0.7316843668619791,0.3518880208333333,9.611002604166668,2.402750651041667,0.30034383138020837
decode,13,0.15,0.7106711647727273,0.28676534603989917,0.7293797406283292,0.33504971590909094,9.907492897727273,2.4768732244318183,0.3096091530539773
decode,14,0.15,0.7038574218749999,0.2846446991597781,0.7227543830871582,0.32421875,9.88359375,2.4708984375,0.3088623046875
decode,15,0.15,0.7118055555555556,0.2891596986158551,0.7283086776733398,0.36111111111111116,9.842447916666666,2.4606119791666665,0.3075764973958333
decode,16,0.15,0.6971435546875,0.2874871781704689,0.7048964500427246,0.320556640625,9.702880859375,2.42572021484375,0.30321502685546875
decode,17,0.15,0.7160295758928571,0.28303706459081934,0.7270702634538924,0.3677455357142857,10.122767857142858,2.5306919642857144,0.3163364955357143
decode,18,0.15,0.7099609375000001,0.27966382267712525,0.722209612528483,0.34342447916666674,10.166015625,2.54150390625,0.31768798828125
decode,19,0.15,0.7189453125,0.2908814611834233,0.7333686828613282,0.36015624999999996,9.89375,2.4734375,0.3091796875
decode,20,0.15,0.7103271484375,0.28286698197585913,0.7269163131713867,0.35986328125,10.06005859375,2.5150146484375,0.3143768310546875
decode,21,0.15,0.7171223958333334,0.2914453789302922,0.7402467727661133,0.3828125,9.84765625,2.4619140625,0.3077392578125
decode,22,0.15,0.670654296875,0.29021503402931875,0.697385311126709,0.298828125,9.2568359375,2.314208984375,0.289276123046875
decode,23,0.15,0.66943359375,0.289117231904213,0.6979780197143555,0.291015625,9.287109375,2.32177734375,0.29022216796875
prefill,1,0.15,0.6851992394431625,0.3098294978062266,0.712461007358796,0.2552730825943274,8.847785641558325,2.211946410389581,0.27649330129869765
prefill,2,0.15,0.6986617371053238,0.31318852039769224,0.7265953127602397,0.2733355104740621,8.925211283863781,2.2313028209659453,0.27891285262074317
prefill,3,0.15,0.696746699471131,0.31622985467833015,0.7234711966000688,0.2689799225368985,8.813723810639978,2.2034309526599944,0.2754288690824993
prefill,4,0.15,0.6950788841095197,0.3149937728997264,0.7211611214539475,0.2687476884535515,8.826472965539264,2.206618241384816,0.275827280173102
prefill,5,0.15,0.6957777266464802,0.3182915936390239,0.7212177544762692,0.273841918532877,8.743856302753388,2.185964075688347,0.27324550946104337
prefill,6,0.15,0.7008705185751336,0.3183308004267884,0.7273156948245966,0.2836936986206101,8.807166221132567,2.2017915552831417,0.2752239444103927
prefill,7,0.15,0.7051802773969259,0.323226107667708,0.7309547975918727,0.287896318422889,8.726858889821738,2.1817147224554345,0.2727143403069293
prefill,8,0.15,0.7116448493584033,0.32548682809547563,0.7358142362955588,0.3039827690438942,8.743652092514239,2.1859130231285597,0.27323912789106997
prefill,9,0.15,0.7200675547863934,0.32869052094805856,0.7449514398119995,0.3118880910409861,8.762057286125913,2.190514321531478,0.2738142901914348
