phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
prefill,conversation,1,8,transition,15,0.5140142517814728,0.005225653206650831,1.0,2.048121573610842,0.5886111111111112
prefill,conversation,1,16,domain_oracle,15,0.32212984956452895,0.0023752969121140144,2.0,6.242556710369966,0.0
prefill,conversation,1,16,previous_window,15,0.33849960411718133,0.0017418844022169437,2.0,5.927045096478904,0.0024404761904761904
prefill,conversation,1,16,static,15,0.2796318289786223,0.0011084718923198734,2.0,7.221599913142148,0.0
prefill,conversation,1,16,transition,15,0.7225059382422803,0.13174980205859066,2.0,2.8264000263271916,0.47212301587301586
prefill,conversation,1,32,domain_oracle,15,0.6055621536025336,0.04196357878068092,4.0,6.623287674632279,0.0
prefill,conversation,1,32,previous_window,15,0.6142121931908154,0.0494061757719715,4.0,6.521520256744217,0.0013740079365079365
prefill,conversation,1,32,static,15,0.5836698337292161,0.04782264449722882,4.0,6.885526783895841,0.0
prefill,conversation,1,32,transition,15,0.9037212984956453,0.515439429928741,4.0,4.446227173171451,0.295843253968254
prefill,conversation,2,8,domain_oracle,14,0.16264421445537836,0.0,1.0,6.2447001426725635,0.0
prefill,conversation,2,8,previous_window,14,0.17074567356633866,0.0,1.0,5.909658575187144,0.003465136054421769
prefill,conversation,2,8,static,14,0.1351586359009162,0.0,1.0,7.614168762000255,0.0
prefill,conversation,2,8,transition,14,0.49501611808618934,0.0027146250424160165,1.0,2.183540280061664,0.5767431972789117
prefill,conversation,2,16,domain_oracle,14,0.32072870715982355,0.002544960977265015,2.0,6.270432022125943,0.0
prefill,conversation,2,16,previous_window,14,0.3377375296912114,0.0018663047166610112,2.0,5.94127037790864,0.0024659863945578234
prefill,conversation,2,16,static,14,0.2775704105870377,0.0011876484560570072,2.0,7.274345843965378,0.0
prefill,conversation,2,16,transition,14,0.7026849338310146,0.12996267390566676,2.0,2.9501881787797712,0.4578762755102041
prefill,conversation,2,32,domain_oracle,14,0.6031769596199525,0.04190702409229725,4.0,6.649220862225504,0.0
prefill,conversation,2,32,previous_window,14,0.6137385476756023,0.049711571089243296,4.0,6.527139538593373,0.0013764880952380953
