train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
instruct,base,prefill,math,8,11,3,16,516,8,0.8074127906976745,0.2751937984496124,2.0,2.477047704770477,0.4436893203883495,0.4169542146453216
instruct,base,prefill,math,8,11,3,32,516,8,0.9496124031007752,0.7151162790697675,4.0,4.2122448979591836,0.2902912621359223,0.5745666352616451
instruct,base,prefill,math,8,12,4,8,516,8,0.5334302325581395,0.01744186046511628,1.0,1.874659400544959,0.5733009708737864,0.30896508022721464
instruct,base,prefill,math,8,12,4,16,516,8,0.7502422480620154,0.18410852713178294,2.0,2.6658056183403294,0.4564320388349515,0.4037328802166501
instruct,base,prefill,math,8,12,4,32,516,8,0.935562015503876,0.6647286821705426,4.0,4.275504919730709,0.29023058252427186,0.5716628693333352
instruct,base,prefill,math,8,13,5,8,516,8,0.502906976744186,0.001937984496124031,1.0,1.9884393063583814,0.5939320388349515,0.2947109848080709
instruct,base,prefill,math,8,13,5,16,516,8,0.6763565891472868,0.060077519379844964,2.0,2.95702005730659,0.43968446601941746,0.4169413689981241
instruct,base,prefill,math,8,13,5,32,516,8,0.905281007751938,0.5116279069767442,4.0,4.418517527428419,0.27609223300970875,0.5838346060030631
instruct,base,prefill,math,8,14,6,8,516,8,0.4675387596899225,0.001937984496124031,1.0,2.138860103626943,0.6550970873786408,0.25160970636698676
instruct,base,prefill,math,8,14,6,16,516,8,0.7093023255813954,0.12790697674418605,2.0,2.819672131147541,0.48701456310679614,0.3803835799411663
instruct,base,prefill,math,8,14,6,32,516,8,0.936531007751938,0.6918604651162791,4.0,4.271081220900156,0.28434466019417476,0.5739494118180107
instruct,base,prefill,math,8,15,7,8,516,8,0.43556201550387597,0.0,1.0,2.2958843159065627,0.5424757281553398,0.3370329778096757
instruct,base,prefill,math,8,15,7,16,516,8,0.6390503875968992,0.07945736434108527,2.0,3.1296436694465504,0.4424757281553398,0.413885135347568
instruct,base,prefill,math,8,15,7,32,516,8,0.8890503875968992,0.4496124031007752,4.0,4.499182561307902,0.2737257281553398,0.5868987456573919
instruct,base,prefill,math,9,10,1,8,516,8,0.6518895348837209,0.013565891472868217,1.0,1.5340022296544036,0.7305825242718447,0.20125083115374334
instruct,base,prefill,math,9,10,1,16,516,8,0.876937984496124,0.3875968992248062,2.0,2.2806629834254144,0.5894417475728155,0.30434971871532873
instruct,base,prefill,math,9,10,1,32,516,8,0.9837693798449613,0.8817829457364341,4.0,4.065993597636051,0.36711165048543687,0.4928232410826754
instruct,base,prefill,math,9,11,2,8,516,8,0.6288759689922481,0.0,1.0,1.5901386748844375,0.625242718446602,0.27164654116110315
instruct,base,prefill,math,9,11,2,16,516,8,0.8401162790697675,0.3507751937984496,2.0,2.3806228373702423,0.47936893203883496,0.3838482701276153
instruct,base,prefill,math,9,11,2,32,516,8,0.970203488372093,0.812015503875969,4.0,4.122846441947566,0.33853155339805824,0.5197446506723588
instruct,base,prefill,math,9,12,3,8,516,8,0.5455426356589147,0.01744186046511628,1.0,1.83303730017762,0.6070388349514563,0.28276793325336874
instruct,base,prefill,math,9,12,3,16,516,8,0.7810077519379846,0.1686046511627907,2.0,2.5607940446650126,0.5010922330097087,0.36561902255350565
instruct,base,prefill,math,9,12,3,32,516,8,0.9583333333333334,0.7751937984496124,4.0,4.173913043478261,0.33149271844660194,0.5253978867555016
instruct,base,prefill,math,9,13,4,8,516,8,0.5256782945736435,0.003875968992248062,1.0,1.9023041474654379,0.6594660194174757,0.24549694103092023
instruct,base,prefill,math,9,13,4,16,516,8,0.7117248062015504,0.05232558139534884,2.0,2.810074880871341,0.48604368932038833,0.37763752277956464
instruct,base,prefill,math,9,13,4,32,516,8,0.9299903100775194,0.5910852713178295,4.0,4.30112008335504,0.31765776699029125,0.5369398984669604
instruct,base,prefill,math,9,14,5,8,516,8,0.5208333333333334,0.003875968992248062,1.0,1.92,0.7,0.22181723346771806
instruct,base,prefill,math,9,14,5,16,516,8,0.7521802325581395,0.17054263565891473,2.0,2.658937198067633,0.5327669902912622,0.3395811002298419
instruct,base,prefill,math,9,14,5,32,516,8,0.9546996124031008,0.7403100775193798,4.0,4.189799543263131,0.33076456310679614,0.5235949451171047
instruct,base,prefill,math,9,15,6,8,516,8,0.47795542635658916,0.0,1.0,2.0922453117080586,0.6118932038834951,0.28499789315323176
