checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,general,0,6,6,32,0.77175,0.6469166666666667,0.12483333333333335,0.184,0.054,0.13
base,prefill,general,0,7,7,8,0.2778333333333333,0.14491666666666667,0.13291666666666666,0.0,0.0,0.0
base,prefill,general,0,7,7,16,0.5060833333333333,0.33508333333333334,0.17099999999999999,0.006666666666666667,0.0,0.006666666666666667
base,prefill,general,0,7,7,32,0.7308333333333333,0.6171666666666666,0.1136666666666667,0.13733333333333334,0.036,0.10133333333333333
base,prefill,general,0,8,8,8,0.2936666666666667,0.14733333333333334,0.14633333333333334,0.0,0.0,0.0
base,prefill,general,0,8,8,16,0.5095,0.319,0.19049999999999995,0.018666666666666668,0.0,0.018666666666666668
base,prefill,general,0,8,8,32,0.8,0.6523333333333333,0.14766666666666672,0.30333333333333334,0.07133333333333333,0.232
base,prefill,general,0,9,9,8,0.2895,0.11541666666666667,0.1740833333333333,0.0,0.0,0.0
base,prefill,general,0,9,9,16,0.5249166666666667,0.2708333333333333,0.2540833333333334,0.027333333333333334,0.0,0.027333333333333334
base,prefill,general,0,9,9,32,0.7983333333333333,0.5885833333333333,0.20975,0.32666666666666666,0.021333333333333333,0.30533333333333335
base,prefill,general,0,10,10,8,0.32508333333333334,0.17033333333333334,0.15475,0.0,0.0,0.0
base,prefill,general,0,10,10,16,0.5221666666666667,0.293,0.22916666666666669,0.023333333333333334,0.0,0.023333333333333334
base,prefill,general,0,10,10,32,0.7564166666666666,0.6050833333333333,0.15133333333333332,0.222,0.020666666666666667,0.20133333333333334
base,prefill,general,0,11,11,8,0.27308333333333334,0.15716666666666668,0.11591666666666667,0.0,0.0,0.0
base,prefill,general,0,11,11,16,0.48991666666666667,0.31708333333333333,0.17283333333333334,0.012666666666666666,0.0006666666666666666,0.012
base,prefill,general,0,11,11,32,0.73725,0.5918333333333333,0.14541666666666664,0.16333333333333333,0.028666666666666667,0.13466666666666666
base,prefill,general,0,12,12,8,0.30783333333333335,0.20025,0.10758333333333334,0.0,0.0,0.0
base,prefill,general,0,12,12,16,0.5156666666666667,0.3446666666666667,0.17100000000000004,0.021333333333333333,0.002,0.019333333333333334
base,prefill,general,0,12,12,32,0.7435,0.6251666666666666,0.1183333333333334,0.22866666666666666,0.09666666666666666,0.132
base,prefill,general,0,13,13,8,0.24541666666666667,0.11183333333333334,0.13358333333333333,0.0,0.0,0.0
base,prefill,general,0,13,13,16,0.41275,0.25975,0.15300000000000002,0.006,0.0006666666666666666,0.005333333333333333
base,prefill,general,0,13,13,32,0.6970833333333334,0.6194166666666666,0.07766666666666677,0.12733333333333333,0.038,0.08933333333333332
base,prefill,general,0,14,14,8,0.265,0.13841666666666666,0.12658333333333335,0.0,0.0,0.0
base,prefill,general,0,14,14,16,0.48883333333333334,0.34341666666666665,0.1454166666666667,0.014666666666666666,0.0006666666666666666,0.014
