phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,3,37,39,186,0.013905502392344497
prefill,__all__,3,38,10,180,0.013456937799043063
prefill,__all__,3,39,32,179,0.013382177033492823
prefill,__all__,3,40,4,175,0.013083133971291867
prefill,__all__,3,41,11,171,0.01278409090909091
prefill,__all__,3,42,41,165,0.012335526315789474
prefill,__all__,3,43,8,162,0.012111244019138757
prefill,__all__,3,44,36,152,0.011363636363636364
prefill,__all__,3,45,6,147,0.010989832535885168
prefill,__all__,3,46,34,142,0.010616028708133971
prefill,__all__,3,47,55,141,0.010541267942583732
prefill,__all__,3,48,3,141,0.010541267942583732
prefill,__all__,3,49,1,138,0.010316985645933014
prefill,__all__,3,50,7,133,0.009943181818181818
prefill,__all__,3,51,60,127,0.009494617224880382
prefill,__all__,3,52,63,125,0.009345095693779904
prefill,__all__,3,53,51,122,0.009120813397129187
prefill,__all__,3,54,44,114,0.008522727272727272
prefill,__all__,3,55,27,111,0.008298444976076555
prefill,__all__,3,56,5,110,0.008223684210526315
prefill,__all__,3,57,21,102,0.007625598086124402
prefill,__all__,3,58,14,94,0.007027511961722488
prefill,__all__,3,59,26,94,0.007027511961722488
prefill,__all__,3,60,35,89,0.006653708133971292
prefill,__all__,3,61,16,73,0.005457535885167464
prefill,__all__,3,62,17,63,0.004709928229665072
prefill,__all__,3,63,13,61,0.004560406698564594
prefill,__all__,3,64,53,43,0.003214712918660287
prefill,__all__,4,1,17,514,0.03842703349282297
prefill,__all__,4,2,26,490,0.036632775119617225
prefill,__all__,4,3,21,406,0.030352870813397128
prefill,__all__,4,4,62,404,0.030203349282296652
prefill,__all__,4,5,47,359,0.026839114832535885
prefill,__all__,4,6,58,348,0.026016746411483254
prefill,__all__,4,7,19,333,0.024895334928229665
prefill,__all__,4,8,23,326,0.02437200956937799
prefill,__all__,4,9,34,323,0.024147727272727272
prefill,__all__,4,10,8,298,0.02227870813397129
prefill,__all__,4,11,35,296,0.022129186602870814
prefill,__all__,4,12,43,291,0.021755382775119618
prefill,__all__,4,13,49,287,0.02145633971291866
prefill,__all__,4,14,45,276,0.02063397129186603
prefill,__all__,4,15,55,275,0.02055921052631579
prefill,__all__,4,16,52,273,0.02040968899521531
prefill,__all__,4,17,37,265,0.019811602870813398
prefill,__all__,4,18,50,259,0.01936303827751196
prefill,__all__,4,19,42,256,0.019138755980861243
prefill,__all__,4,20,59,255,0.019063995215311005
prefill,__all__,4,21,9,253,0.018914473684210526
prefill,__all__,4,22,36,247,0.018465909090909092
prefill,__all__,4,23,48,238,0.017793062200956937
prefill,__all__,4,24,25,233,0.01741925837320574
prefill,__all__,4,25,7,224,0.01674641148325359
prefill,__all__,4,26,5,212,0.015849282296650717
prefill,__all__,4,27,1,209,0.015625
prefill,__all__,4,28,60,207,0.01547547846889952
prefill,__all__,4,29,41,206,0.015400717703349283
prefill,__all__,4,30,39,206,0.015400717703349283
prefill,__all__,4,31,10,194,0.01450358851674641
prefill,__all__,4,32,6,190,0.014204545454545454
prefill,__all__,4,33,24,188,0.014055023923444977
prefill,__all__,4,34,14,184,0.01375598086124402
prefill,__all__,4,35,51,180,0.013456937799043063
prefill,__all__,4,36,12,179,0.013382177033492823
prefill,__all__,4,37,11,171,0.01278409090909091
prefill,__all__,4,38,38,170,0.01270933014354067
prefill,__all__,4,39,22,165,0.012335526315789474
prefill,__all__,4,40,18,164,0.012260765550239234
prefill,__all__,4,41,29,162,0.012111244019138757
prefill,__all__,4,42,56,161,0.012036483253588517
