phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
decode,__domain_balanced__,9,8,transition,28,0.4728422619047619,0.00510204081632653,1.0,2.1859875166971716,0.44785749786992335
decode,__domain_balanced__,9,16,domain_oracle,28,0.49386160714285715,0.03932823129251701,2.0,4.264347572640532,0.0
decode,__domain_balanced__,9,16,linear,28,0.7563509778911565,0.265093537414966,2.0,2.6738088123476684,0.5396460522578813
decode,__domain_balanced__,9,16,static,28,0.39351261337868476,0.00510204081632653,2.0,5.522570009189524,0.0
decode,__domain_balanced__,9,16,transition,28,0.6873317035147393,0.14080215419501133,2.0,2.942426173079036,0.38430577250781023
decode,__domain_balanced__,9,32,domain_oracle,28,0.7611961451247166,0.2310090702947846,4.0,5.307331676247029,0.0
decode,__domain_balanced__,9,32,linear,28,0.9087833049886622,0.5913407029478458,4.0,4.409125703848172,0.3716362539051406
decode,__domain_balanced__,9,32,static,28,0.6613786139455782,0.09013605442176871,4.0,6.1255021122207465,0.0
decode,__domain_balanced__,9,32,transition,28,0.8838311366213152,0.4802295918367347,4.0,4.534227870770297,0.25625488142573133
decode,__domain_balanced__,10,8,domain_oracle,24,0.302734375,0.000992063492063492,1.0,3.73446186941632,0.0
decode,__domain_balanced__,10,8,linear,24,0.5470403439153438,0.033895502645502645,1.0,1.8762265208855322,0.6513419483101391
decode,__domain_balanced__,10,8,static,24,0.22490906084656084,0.0,1.0,5.8469486640278125,0.0
decode,__domain_balanced__,10,8,transition,24,0.4588707010582011,0.004794973544973545,1.0,2.243489928444338,0.4489728296885354
decode,__domain_balanced__,10,16,domain_oracle,24,0.49294188161375657,0.0398478835978836,2.0,4.267400553101337,0.0
decode,__domain_balanced__,10,16,linear,24,0.7442646329365079,0.25090939153439157,2.0,2.7157196471015634,0.5465850728959576
decode,__domain_balanced__,10,16,static,24,0.3888888888888889,0.005952380952380952,2.0,5.570040813325394,0.0
