phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
prefill,3,12,9,11696,128,64,30,0.6440770096883239
prefill,3,13,10,11696,128,64,30,0.708823774565424
prefill,3,14,11,11696,128,64,30,0.6928618772085323
prefill,3,15,12,11696,128,64,30,0.7334835461650436
prefill,4,5,1,11696,128,64,30,0.6118173118166004
prefill,4,6,2,11696,128,64,30,0.5910427390142928
prefill,4,7,3,11696,128,64,30,0.6040369526632181
prefill,4,8,4,11696,128,64,30,0.5909345805563451
prefill,4,9,5,11696,128,64,30,0.5887012793981915
prefill,4,10,6,11696,128,64,30,0.612293587092988
prefill,4,11,7,11696,128,64,30,0.6222311838870173
prefill,4,12,8,11696,128,64,30,0.6438365494666771
prefill,4,13,9,11696,128,64,30,0.699859504415953
prefill,4,14,10,11696,128,64,30,0.6873507943264273
prefill,4,15,11,11696,128,64,30,0.7237615684804121
prefill,5,6,1,11696,128,64,30,0.5701552763193968
prefill,5,7,2,11696,128,64,30,0.5889195610658252
prefill,5,8,3,11696,128,64,30,0.580469406009862
prefill,5,9,4,11696,128,64,30,0.5870080353786453
prefill,5,10,5,11696,128,64,30,0.6134405133662243
prefill,5,11,6,11696,128,64,30,0.6150784295169501
prefill,5,12,7,11696,128,64,30,0.6380109960664313
prefill,5,13,8,11696,128,64,30,0.691641560168338
prefill,5,14,9,11696,128,64,30,0.6789534820088283
prefill,5,15,10,11696,128,64,30,0.7178754419210671
prefill,6,7,1,11696,128,64,30,0.5750630165255347
prefill,6,8,2,11696,128,64,30,0.5683869612689872
prefill,6,9,3,11696,128,64,30,0.5737396843130057
prefill,6,10,4,11696,128,64,30,0.6018544667070443
prefill,6,11,5,11696,128,64,30,0.6021728178870988
prefill,6,12,6,11696,128,64,30,0.625698072965755
prefill,6,13,7,11696,128,64,30,0.6739928097796668
prefill,6,14,8,11696,128,64,30,0.6651222000533025
prefill,6,15,9,11696,128,64,30,0.7024891031587499
prefill,7,8,1,11696,128,64,30,0.531986396387729
prefill,7,9,2,11696,128,64,30,0.5363124658324324
prefill,7,10,3,11696,128,64,30,0.5692270861278643
prefill,7,11,4,11696,128,64,30,0.5738682362840863
prefill,7,12,5,11696,128,64,30,0.6000592494141387
prefill,7,13,6,11696,128,64,30,0.6516750814487442
prefill,7,14,7,11696,128,64,30,0.6423192351200349
prefill,7,15,8,11696,128,64,30,0.685165263477983
prefill,8,9,1,11696,128,64,30,0.5103768588906273
prefill,8,10,2,11696,128,64,30,0.5433093666541103
prefill,8,11,3,11696,128,64,30,0.5501805257699395
prefill,8,12,4,11696,128,64,30,0.5772739908926791
prefill,8,13,5,11696,128,64,30,0.6324470640859591
prefill,8,14,6,11696,128,64,30,0.6202322061182536
prefill,8,15,7,11696,128,64,30,0.6641970344509537
prefill,9,10,1,11696,128,64,30,0.5157558454860578
prefill,9,11,2,11696,128,64,30,0.5255406302401208
prefill,9,12,3,11696,128,64,30,0.5532260403832071
prefill,9,13,4,11696,128,64,30,0.6072868989365209
prefill,9,14,5,11696,128,64,30,0.5973980726034631
prefill,9,15,6,11696,128,64,30,0.641195510790547
prefill,10,11,1,11696,128,64,30,0.5008700044389952
prefill,10,12,2,11696,128,64,30,0.5243891181600078
prefill,10,13,3,11696,128,64,30,0.5756853619939488
prefill,10,14,4,11696,128,64,30,0.5705155640962838
prefill,10,15,5,11696,128,64,30,0.6169090994242604
prefill,11,12,1,11696,128,64,30,0.5245513522592354
prefill,11,13,2,11696,128,64,30,0.5723714481137193
prefill,11,14,3,11696,128,64,30,0.5656622329423594
