phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,8,6,1.0,0.9773803949356079,0.28494399785995483,80120,14889,640960,248540,392420,640,391780,343457,48963,8065143275520,3127356948480,4937786327040,8053063680,4929733263360,4321689206784,616097120256,0.3877621068397404,0.8752280719637123,0.12477192803628766,111817.72364020348,12082.64380556345,0.8919433931203801,0.1858337493759361,634469,1024,633445,1025536
decode,8,9,1.0,0.9773803949356079,0.28494399785995483,56084,468,448672,163040,285632,448,285184,284611,1021,5645600292864,2051517972480,3594082320384,5637144576,3588445175808,3581235167232,12847153152,0.363383496184295,0.9964254705355142,0.003574529464485772,81389.12399673462,230.76079028844833,0.9971647220297185,0.00834462591826546,634469,1024,633445,1025536
decode,8,12,1.0,0.9773803949356079,0.28494399785995483,32048,0,256384,92693,163691,256,163435,163691,0,3226057310208,1166347862016,2059709448192,3221225472,2056488222720,2059709448192,0,0.36153972166749876,1.0,0.0,46642.76795369387,0.0,1.0,0.0,634469,1024,633445,1025536
decode,8,15,1.0,0.9773803949356079,0.28494399785995483,8012,0,64096,21595,42501,64,42437,42501,0,806514327552,271727984640,534786342912,805306368,533981036544,534786342912,0,0.33691650024962555,1.0,0.0,12110.40485304594,0.0,1.0,0.0,634469,1024,633445,1025536
decode,8,1,2.0,0.9773803949356079,0.14409302708667676,120180,27533,961440,373901,587539,960,586579,550324,37215,12097714913280,4704763379712,7392951533568,12079595520,7380871938048,6924678463488,468273070080,0.3888968630387752,0.9366595238784149,0.06334047612158512,84660.27304149499,2256.087478206515,0.9733512851169199,0.22909801963721085,634469,1024,633445,1025536
decode,8,2,2.0,0.9773803949356079,0.14409302708667676,112168,1131,897344,355310,542034,896,541138,540356,1678,11291200585728,4470834462720,6820366123008,11274289152,6809091833856,6799251996672,21114126336,0.39595740318094286,0.9969042532387267,0.0030957467612732783,78103.3198439047,126.24503792158933,0.9983836149580594,0.01008308965123743,634469,1024,633445,1025536
decode,8,3,2.0,0.9773803949356079,0.14409302708667676,104156,31,833248,332105,501143,832,500311,501095,48,10484686258176,4178847989760,6305838268416,10468982784,6295369285632,6305234288640,603979776,0.3985668132416759,0.9999042189554678,9.578104453219939e-05,72211.21187329202,3.117184606618446,0.999956832401427,0.00029763047736088173,634469,1024,633445,1025536
decode,8,6,2.0,0.9773803949356079,0.14409302708667676,80120,0,640960,248540,392420,640,391780,392420,0,8065143275520,3127356948480,4937786327040,8053063680,4929733263360,4937786327040,0,0.3877621068397404,1.0,0.0,56544.98568933744,0.0,1.0,0.0,634469,1024,633445,1025536
decode,8,9,2.0,0.9773803949356079,0.14409302708667676,56084,0,448672,163040,285632,448,285184,285632,0,5645600292864,2051517972480,3594082320384,5637144576,3588445175808,3594082320384,0,0.363383496184295,1.0,0.0,41157.57951281249,0.0,1.0,0.0,634469,1024,633445,1025536
decode,8,12,2.0,0.9773803949356079,0.14409302708667676,32048,0,256384,92693,163691,256,163435,163691,0,3226057310208,1166347862016,2059709448192,3221225472,2056488222720,2059709448192,0,0.36153972166749876,1.0,0.0,23586.73169684192,0.0,1.0,0.0,634469,1024,633445,1025536
