phase,domain,delta,bin,bin_low,bin_high,predictions,mean_score,empirical_frequency
decode,conversation,2,3,0.30000000000000004,0.4,4197,0.3471718728542328,0.3357159876101978
decode,conversation,2,4,0.4,0.5,3127,0.4496751129627228,0.44035817077070677
decode,conversation,2,5,0.5,0.6000000000000001,2737,0.5493358373641968,0.5440263061746438
decode,conversation,2,6,0.6000000000000001,0.7000000000000001,2593,0.6506731510162354,0.6259159274971076
decode,conversation,2,7,0.7000000000000001,0.8,2734,0.7520307302474976,0.7527432333577176
decode,conversation,2,8,0.8,0.9,3655,0.8519254922866821,0.8714090287277702
decode,conversation,2,9,0.9,1.0,5700,0.9518172740936279,0.9628070175438597
decode,conversation,3,0,0.0,0.1,129164,0.02370436117053032,0.021786256232386732
decode,conversation,3,1,0.1,0.2,12879,0.14246626198291779,0.1440329218106996
decode,conversation,3,2,0.2,0.30000000000000004,6210,0.24584756791591644,0.24041867954911433
decode,conversation,3,3,0.30000000000000004,0.4,4315,0.3470737636089325,0.32213209733487835
decode,conversation,3,4,0.4,0.5,3360,0.4477432370185852,0.43333333333333335
decode,conversation,3,5,0.5,0.6000000000000001,2623,0.5501564145088196,0.5055280213495997
decode,conversation,3,6,0.6000000000000001,0.7000000000000001,2602,0.6488184928894043,0.6352805534204458
decode,conversation,3,7,0.7000000000000001,0.8,2824,0.7506255507469177,0.7538951841359773
decode,conversation,3,8,0.8,0.9,3290,0.8525218963623047,0.8659574468085106
decode,conversation,3,9,0.9,1.0,4765,0.9483587741851807,0.9525708289611753
decode,general,1,0,0.0,0.1,146786,0.02093108929693699,0.004053520090471843
decode,general,1,1,0.1,0.2,10162,0.14193719625473022,0.06553827986616807
decode,general,1,2,0.2,0.30000000000000004,4854,0.24538013339042664,0.18149979398434282
decode,general,1,3,0.30000000000000004,0.4,3256,0.34453994035720825,0.3691646191646192
decode,general,1,4,0.4,0.5,2704,0.4460001289844513,0.5129437869822485
decode,general,1,5,0.5,0.6000000000000001,2842,0.5494449734687805,0.6861365235749473
decode,general,1,6,0.6000000000000001,0.7000000000000001,2739,0.6506847143173218,0.8294998174516247
decode,general,1,7,0.7000000000000001,0.8,3160,0.7535831332206726,0.9056962025316456
decode,general,1,8,0.8,0.9,3916,0.8534743189811707,0.9698672114402451
decode,general,1,9,0.9,1.0,7997,0.9516542553901672,0.9927472802300863
decode,general,2,0,0.0,0.1,140078,0.021152924746274948,0.003640828681163352
decode,general,2,1,0.1,0.2,10261,0.1406041979789734,0.07445668063541565
decode,general,2,2,0.2,0.30000000000000004,4507,0.24801719188690186,0.22786776126026181
decode,general,2,3,0.30000000000000004,0.4,3301,0.3457995057106018,0.38533777643138445
decode,general,2,4,0.4,0.5,2523,0.4480033218860626,0.4803804994054697
decode,general,2,5,0.5,0.6000000000000001,2478,0.5513900518417358,0.6933010492332526
decode,general,2,6,0.6000000000000001,0.7000000000000001,2668,0.6503955125808716,0.795352323838081
decode,general,2,7,0.7000000000000001,0.8,3089,0.7507906556129456,0.9193913887989641
decode,general,2,8,0.8,0.9,4047,0.8532417416572571,0.9483568075117371
decode,general,2,9,0.9,1.0,7272,0.951383113861084,0.9935368536853685
decode,general,3,0,0.0,0.1,131562,0.0220757108181715,0.0038308934190723763
decode,general,3,1,0.1,0.2,11186,0.1409849375486374,0.07241194350080457
decode,general,3,2,0.2,0.30000000000000004,4948,0.24528475105762482,0.19381568310428457
decode,general,3,3,0.30000000000000004,0.4,3562,0.3465767502784729,0.3554183043234138
decode,general,3,4,0.4,0.5,2647,0.44802752137184143,0.5689459765772573
decode,general,3,5,0.5,0.6000000000000001,2264,0.5481983423233032,0.7274734982332155
decode,general,3,6,0.6000000000000001,0.7000000000000001,2788,0.6496696472167969,0.8142037302725968
decode,general,3,7,0.7000000000000001,0.8,3098,0.7494676113128662,0.894770819883796
decode,general,3,8,0.8,0.9,4308,0.8533833622932434,0.9637883008356546
decode,general,3,9,0.9,1.0,5669,0.9472203254699707,0.9910037043570294
decode,math,1,0,0.0,0.1,143221,0.022805480286478996,0.014250703458291731
decode,math,1,1,0.1,0.2,13218,0.14192356169223785,0.1307308216068997
decode,math,1,2,0.2,0.30000000000000004,6305,0.2455291897058487,0.24694686756542428
decode,math,1,3,0.30000000000000004,0.4,4132,0.34705841541290283,0.3196999031945789
decode,math,1,4,0.4,0.5,3158,0.4512080252170563,0.44553514882837236
decode,math,1,5,0.5,0.6000000000000001,2915,0.549331545829773,0.6099485420240137
decode,math,1,6,0.6000000000000001,0.7000000000000001,2444,0.6486862897872925,0.7131751227495908
decode,math,1,7,0.7000000000000001,0.8,2761,0.7525397539138794,0.8145599420499819
decode,math,1,8,0.8,0.9,4090,0.8521239757537842,0.9039119804400978
decode,math,1,9,0.9,1.0,6172,0.9507948756217957,0.9771548930654569
decode,math,2,0,0.0,0.1,136322,0.023070573806762695,0.01497924032804683
decode,math,2,1,0.1,0.2,13019,0.1420753449201584,0.12673784468853214
decode,math,2,2,0.2,0.30000000000000004,5951,0.24598759412765503,0.24382456729961352
decode,math,2,3,0.30000000000000004,0.4,4356,0.34799179434776306,0.3351698806244261
decode,math,2,4,0.4,0.5,3110,0.44884341955184937,0.46012861736334404
decode,math,2,5,0.5,0.6000000000000001,2887,0.549285352230072,0.5864218912365777
decode,math,2,6,0.6000000000000001,0.7000000000000001,2764,0.6508745551109314,0.7134587554269175
decode,math,2,7,0.7000000000000001,0.8,2650,0.7537040710449219,0.8015094339622642
decode,math,2,8,0.8,0.9,3661,0.8528363704681396,0.9074023490849494
decode,math,2,9,0.9,1.0,5504,0.9498851895332336,0.978015988372093
decode,math,3,0,0.0,0.1,128956,0.023989742621779442,0.016470734203914515
decode,math,3,1,0.1,0.2,12880,0.14184968173503876,0.13672360248447205
decode,math,3,2,0.2,0.30000000000000004,6323,0.24489076435565948,0.2373873161473984
decode,math,3,3,0.30000000000000004,0.4,4529,0.3475415110588074,0.32987414440273793
decode,math,3,4,0.4,0.5,3299,0.44798797369003296,0.479236132161261
decode,math,3,5,0.5,0.6000000000000001,2542,0.5497021079063416,0.567663257277734
decode,math,3,6,0.6000000000000001,0.7000000000000001,2705,0.6481418013572693,0.6831792975970425
decode,math,3,7,0.7000000000000001,0.8,2881,0.7503101825714111,0.7917389795209997
decode,math,3,8,0.8,0.9,3190,0.8523273468017578,0.9094043887147335
decode,math,3,9,0.9,1.0,4727,0.9481431245803833,0.966786545377618
