capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,eligible_cold_waves,incomplete_cold_waves,correlation_block_waves,mean_incomplete_run_waves,max_incomplete_run_waves,requested_predicted_to_useful_amplification,realized_predicted_to_useful_amplification,useful_predicted_objects,false_predicted_objects,predicted_objects,miss_generation,evidence_coverage,evidence_demand
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,1.0,1.0,249681,0,249681,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,1.25,1.2499989987223696,249681,62420,312101,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,1.5,1.4999979974447395,249681,124840,374521,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,2.0,2.0,249681,249681,499362,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,4.0,4.0,249681,749043,998724,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.5,0.5,103604,51802,4,8.018885448916409,56,8.0,8.0,249681,1747767,1997448,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,1.0,1.0,374468,0,374468,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,1.25,1.25,374468,93617,468085,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,1.5,1.5,374468,187234,561702,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,2.0,2.0,374468,374468,748936,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,4.0,4.0,374468,1123404,1497872,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.75,0.75,103604,25901,4,5.3426155115511555,32,8.0,8.0,374468,2621276,2995744,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,1.0,1.0,449884,0,449884,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,1.25,1.25,449884,112471,562355,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,1.5,1.5,449884,224942,674826,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,2.0,2.0,449884,449884,899768,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,4.0,4.0,449884,1349652,1799536,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.9,0.9000038608547932,103604,10360,4,4.469370146678171,16,8.0,8.0,449884,3149188,3599072,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,1.0,1.0,474662,0,474662,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,1.25,1.2500010533811428,474662,118666,593328,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,1.5,1.5,474662,237331,711993,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,2.0,2.0,474662,474662,949324,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,4.0,4.0,474662,1423986,1898648,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.95,0.9500019304273967,103604,5180,4,4.2011354420113545,12,8.0,8.0,474662,3322634,3797296,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,1.0,1.0,494750,0,494750,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,1.25,1.2500010106114199,494750,123688,618438,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,1.5,1.5,494750,247375,742125,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,2.0,2.0,494750,494750,989500,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,4.0,4.0,494750,1484250,1979000,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.99,0.9900003860854794,103604,1036,4,4.015503875968992,8,8.0,8.0,494750,3463250,3958000,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,1.0,1.0,499293,0,499293,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,1.25,1.249999499291999,499293,124823,624116,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,1.5,1.4999989985839979,499293,249646,748939,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,2.0,2.0,499293,499293,998586,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,4.0,4.0,499293,1497879,1997172,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,3,0.999,0.9989961777537547,103604,104,4,4.0,4,8.0,8.0,499293,3495051,3994344,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
