track,capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,coverage,amplification,raw_cold_service_headroom,effective_headroom_after_amplification,first_order_stall_reduction,oracle_recovery,category,evidence_demand,evidence_predictor,evidence_hardware
AX2,8,1,24.1354255944,0.95,4.0,0.25149671026768977,0.06287417756692244,0.059730468688576316,0.2375,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.95,8.0,0.25149671026768977,0.03143708878346122,0.029865234344288158,0.11875,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,1.0,0.25149671026768977,0.25149671026768977,0.24898174316501287,0.99,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,1.25,0.25149671026768977,0.20119736821415182,0.1991853945320103,0.792,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,1.5,0.25149671026768977,0.16766447351179317,0.16598782877667523,0.6599999999999999,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,2.0,0.25149671026768977,0.12574835513384489,0.12449087158250643,0.495,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,4.0,0.25149671026768977,0.06287417756692244,0.06224543579125322,0.2475,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.99,8.0,0.25149671026768977,0.03143708878346122,0.03112271789562661,0.12375,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,1.0,0.25149671026768977,0.25149671026768977,0.2512452135574221,0.999,profitable_tail_risk,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,1.25,0.25149671026768977,0.20119736821415182,0.20099617084593768,0.7992,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,1.5,0.25149671026768977,0.16766447351179317,0.16749680903828137,0.6659999999999999,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,2.0,0.25149671026768977,0.12574835513384489,0.12562260677871104,0.4995,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,4.0,0.25149671026768977,0.06287417756692244,0.06281130338935552,0.24975,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.999,8.0,0.25149671026768977,0.03143708878346122,0.03140565169467776,0.124875,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,32.0,0.5,1.0,0.3334473923854642,0.3334473923854642,0.1667236961927321,0.5,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.5,1.25,0.3334473923854642,0.2667579139083714,0.1333789569541857,0.4,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.5,1.5,0.3334473923854642,0.2222982615903095,0.11114913079515475,0.33333333333333337,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.5,2.0,0.3334473923854642,0.1667236961927321,0.08336184809636606,0.25,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.5,4.0,0.3334473923854642,0.08336184809636606,0.04168092404818303,0.125,service_limited,trace_derived,assumed,hypothetical
AX2,8,1,32.0,0.5,8.0,0.3334473923854642,0.04168092404818303,0.020840462024091514,0.0625,service_limited,trace_derived,assumed,hypothetical
