track,capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,requested_amplification,realized_amplification,bandwidth_gbps,startup_latency_us,transfer_concurrency,expert_size_mib,expert_transfer_ms,fast_tier_expert_gib,offloaded_expert_gib,eligible_cold_demand_objects,useful_predicted_objects,false_predicted_objects,cold_demand_bytes,useful_predicted_bytes,false_predicted_bytes,candidate_movement_bytes,deadline_feasible_useful_bytes,late_useful_bytes,missed_or_unpredictable_bytes,mean_eligible_cold_objects_per_wave,cold_service_headroom,cold_service_pressure_with_amplification,mean_reactive_stall_ms,p50_reactive_stall_ms,p95_reactive_stall_ms,p99_reactive_stall_ms,mean_predictive_stall_ms,p50_predictive_stall_ms,p95_predictive_stall_ms,p99_predictive_stall_ms,mean_oracle_stall_ms,p50_oracle_stall_ms,p95_oracle_stall_ms,p99_oracle_stall_ms,mean_stall_reduction_vs_reactive,p99_stall_reduction_vs_reactive,mean_oracle_stall_reduction,mean_oracle_recovery,modeled_p99_tpot_ms,reactive_p99_tpot_ms,oracle_p99_tpot_ms,p99_tpot_ratio_vs_reactive,p99_tpot_slowdown_vs_all_resident,deadline_feasible_predicted_wave_fraction,deadline_feasible_useful_objects,late_useful_objects,missed_or_unpredictable_objects,tail_model,evidence_expert_and_timing,evidence_demand,evidence_predictor,evidence_hardware
AX1,8,1,0.5,0.5,1.5,1.499998296938918,512.0,2.755010047474471,1,12.0,0.02733101004747447,1.5,10.5,585911,293589,146794,7372466552832,3694204551168,1847095984128,5541300535296,3694204551168,0,4266928373760,4.571144363999501,5.690835496711923,0.26358168336910753,2.158552748842443,2.1591497937504833,3.0337421152696664,3.252390195649462,1.1569195059479251,1.0932404018989788,2.2411428238929068,2.7331010047474473,0.1596088681876168,0.16398606028484683,0.21864808037979577,0.21864808037979577,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,12.962076777605112,13.481365968507127,10.447623853237461,0.9614809662377618,1.2671920498628673,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,16.0,2.755010047474471,1,12.0,0.7891870100474745,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,0,3694204551168,4266928373760,4.571144363999501,0.1778386092722476,11.246151823748589,62.32853403257731,62.34577379375049,87.59975811526968,93.91325419564946,86.47759862001244,84.44301007507977,132.9932388718792,150.80498116565525,52.78204328663169,52.75610900669642,78.01009332821562,84.3235894085954,-0.3874479796815551,-0.605790177938923,0.15316405068914252,-2.52962740237204,161.03395693851292,104.14222996850712,94.55256518145306,1.5462887340439129,15.742920944813706,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,24.1354255944,2.755010047474471,1,12.0,0.5241011926861406,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,0,3694204551168,4266928373760,4.571144363999501,0.2682631576188691,7.4553659091774,41.392545250950576,41.403994222205114,58.17523238816161,62.36804192965073,55.82668285882053,54.68499585269237,86.07911964095965,97.32697852091863,31.902242828773513,31.81432943515105,48.58556760110755,52.77837714259667,-0.34871345843460744,-0.560526441261384,0.22927564286371394,-1.5209354734723817,107.5559542937763,72.5970177025084,63.007352915454334,1.4815478334733299,10.514831267776913,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,measured_anchor
AX1,8,1,0.5,0.5,2.0,2.0,32.0,2.755010047474471,1,12.0,0.3959710100474745,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,0,3694204551168,4266928373760,4.571144363999501,0.3556772185444952,5.623075911874294,31.273059821617377,31.281709793750487,43.95278211526967,47.12055019564946,41.011452554852035,40.20762514191283,63.45041894461082,71.52247017985164,21.845247054111304,21.692045006696425,34.36311732821561,37.530885408595395,-0.31139878185194503,-0.5178615250221581,0.3014675513455557,-1.0329429501187202,81.7514459527093,57.34952596850712,47.75986118145306,1.425494711108898,7.9921438634779784,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,64.0,2.755010047474471,1,12.0,0.19936301004747448,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,25367150592,3668837400576,4266928373760,4.571144363999501,0.7113544370889904,2.811537955937147,15.745322716137414,15.749677793750484,22.129294115269666,23.724198195649464,18.3389236854061,18.08731842214214,28.69477991031947,32.16639499244889,6.789252887186832,6.483041883727438,12.539629328215605,14.1345334085954,-0.16472199497127482,-0.35584750756076367,0.5688082734418323,-0.28959141887045653,42.39537076530656,33.95317396850713,24.363509181453068,1.2486423450317161,4.144634976827458,0.03370561091419782,2016,291573,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,128.0,2.755010047474471,1,12.0,0.10105901004747447,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,439508533248,3254696017920,4266928373760,4.571144363999501,1.4227088741779808,1.4057689779685736,7.981454163397431,7.983661793750484,11.217550115269667,12.026022195649462,7.196121700747072,7.111464095824376,11.722845165507039,12.906972827540383,0.9394597362582698,0.7777033883522413,1.9288741248668257,2.469314334114158,0.0983946592403997,-0.07325370081302629,0.8822946649788973,0.11152131271558023,23.13594860039805,22.254997968507126,12.698290106971823,1.0395843950710555,2.261805005129518,0.244181769544573,34929,258660,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,256.0,2.755010047474471,1,12.0,0.05190701004747447,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,2423556931584,1270647619584,4266928373760,4.571144363999501,2.8454177483559615,0.7028844889842868,4.099519887027439,4.1006537937504834,5.7616781152696666,6.176934195649462,2.408451960253602,2.27010799120071,4.5021094232421115,5.294515024842396,0.3031289041381848,0.31144206028484683,0.4152560803797958,0.4152560803797958,0.41250389640139795,0.1428571428571428,0.9260574622171224,0.4454409291339232,15.523490797700063,16.405909968507128,10.644231853237462,0.9462133357734522,1.517599722827701,0.7700963017454692,192607,100982,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,2.0,2.0,512.0,2.755010047474471,1,12.0,0.02733101004747447,1.5,10.5,585911,293589,293589,7372466552832,3694204551168,3694204551168,7388409102336,3694204551168,0,4266928373760,4.571144363999501,5.690835496711923,0.3514422444921434,2.158552748842443,2.1591497937504833,3.0337421152696664,3.252390195649462,1.1569195059479251,1.0932404018989788,2.2411428238929068,2.7331010047474473,0.1596088681876168,0.16398606028484683,0.21864808037979577,0.21864808037979577,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,12.962076777605112,13.481365968507127,10.447623853237461,0.9614809662377618,1.2671920498628673,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,4.0,4.0,16.0,2.755010047474471,1,12.0,0.7891870100474745,1.5,10.5,585911,293589,880767,7372466552832,3694204551168,11082613653504,14776818204672,0,3694204551168,4266928373760,4.571144363999501,0.1778386092722476,22.492303647497177,62.32853403257731,62.34577379375049,87.59975811526968,93.91325419564946,144.32221854082832,137.5784849079202,250.24254443163704,297.2542060971697,52.78204328663169,52.75610900669642,78.01009332821562,84.3235894085954,-1.315507989733808,-2.16519972226604,0.15316405068914252,-8.588882207116121,307.48318187002735,104.14222996850712,94.55256518145306,2.9525311870411364,30.060016632938595,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,4.0,4.0,24.1354255944,2.755010047474471,1,12.0,0.5241011926861406,1.5,10.5,585911,293589,880767,7372466552832,3694204551168,11082613653504,14776818204672,0,3694204551168,4266928373760,4.571144363999501,0.2682631576188691,14.9107318183548,41.392545250950576,41.403994222205114,58.17523238816161,62.36804192965073,94.24144882050605,89.74782798976263,163.82456797184219,194.4009089609721,31.902242828773513,31.81432943515105,48.58556760110755,52.77837714259667,-1.27677346848686,-2.1169955468579635,0.22927564286371394,-5.568727024552712,204.62988473382975,72.5970177025084,63.007352915454334,2.8187092419191666,20.00492417596785,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,measured_anchor
AX1,8,1,0.5,0.5,4.0,4.0,32.0,2.755010047474471,1,12.0,0.3959710100474745,1.5,10.5,585911,293589,880767,7372466552832,3694204551168,11082613653504,14776818204672,0,3694204551168,4266928373760,4.571144363999501,0.3556772185444952,11.246151823748589,31.273059821617377,31.281709793750487,43.95278211526967,47.12055019564946,70.03472876726696,66.73768281509362,121.72007951441611,144.68639809716964,21.845247054111304,21.692045006696425,34.36311732821561,37.530885408595395,-1.2394587919041977,-2.070558333814367,0.3014675513455557,-4.111416921562726,154.9153738700273,57.34952596850712,47.75986118145306,2.7012494219236864,15.144759095147279,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
