phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
prefill,__all__,13,256,8,54,0.29175059741097475,0.0,0.2518886350235849,0.2133881191037736,0.34737986438679247,0.6198619612608381
prefill,__all__,13,512,8,27,0.26021158328850635,0.0,0.2550048828125,0.20289963942307693,0.3084904597355769,0.6670226160782193
prefill,__all__,14,256,8,54,0.22759965401474833,0.0,0.2319980837264151,0.19153522995283018,0.32156544811320753,0.6056834178996415
prefill,__all__,14,512,8,27,0.2097372712757328,0.0,0.23438439002403846,0.17362154447115385,0.2857853816105769,0.6242249772367234
prefill,__all__,15,256,8,54,0.2568810644282342,0.0,0.24987102004716982,0.20734448702830188,0.33334868808962265,0.6318368668998031
prefill,__all__,15,512,8,27,0.25724104954874183,0.0,0.2525071364182692,0.19618577223557693,0.2996826171875,0.660020919287954
prefill,code,0,256,8,17,0.5016705516705516,0.23076923076923078,0.324188232421875,0.30963134765625,0.341766357421875,0.9053561201725155
prefill,code,0,512,8,8,0.5665223665223665,0.3333333333333333,0.32411411830357145,0.31337193080357145,0.3330775669642857,0.9419632678589888
prefill,code,1,256,8,17,0.5656565656565656,0.3333333333333333,0.3890380859375,0.379852294921875,0.4041748046875,0.9380705171039816
prefill,code,1,512,8,8,0.6536796536796537,0.3333333333333333,0.38992745535714285,0.3854282924107143,0.3977748325892857,0.968067232996216
prefill,code,2,256,8,17,0.6845959595959596,0.45454545454545453,0.439453125,0.427886962890625,0.445098876953125,0.9617836044546599
prefill,code,2,512,8,8,0.7841269841269841,0.6,0.4404296875,0.43446568080357145,0.442138671875,0.9830669608800073
prefill,code,3,256,8,17,0.6936868686868687,0.45454545454545453,0.408721923828125,0.40130615234375,0.417266845703125,0.9616363056487408
prefill,code,3,512,8,8,0.7062049062049062,0.45454545454545453,0.40963309151785715,0.40304129464285715,0.41514369419642855,0.9708778354325148
prefill,code,4,256,8,17,0.6964646464646465,0.45454545454545453,0.51214599609375,0.506591796875,0.518310546875,0.9771349627501797
prefill,code,4,512,8,8,0.7587301587301587,0.6,0.5109514508928571,0.506103515625,0.5141950334821429,0.9840565536824576
prefill,code,5,256,8,17,0.6964646464646465,0.45454545454545453,0.52001953125,0.5111083984375,0.52850341796875,0.9669264055287963
prefill,code,5,512,8,8,0.6761904761904762,0.6,0.5205078125,0.5137416294642857,0.5244838169642857,0.9797641649120427
prefill,code,6,256,8,17,0.7888888888888889,0.6,0.530731201171875,0.519012451171875,0.533172607421875,0.972962541721398
prefill,code,6,512,8,8,0.9047619047619048,0.7777777777777778,0.5304827008928571,0.5248674665178571,0.5308314732142857,0.9889026728979234
prefill,code,7,256,8,17,0.6156565656565657,0.3333333333333333,0.5009765625,0.488189697265625,0.509521484375,0.9570250456677613
